Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
BC-94DJ1NA1/HC1(Q),RC33A1GWE,260.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,78.7878787878788,doe,3.3,260.0,RC33A1GWE,False
BC-50DAN,EFR176-BLUE-6COM,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0,doe,1.6,200.0,EFR176-BLUE-6COM,False
BC-50DAN,EFR176-C-BLACK_AMZ,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0,doe,1.6,200.0,EFR176-C-BLACK_AMZ,False
BC-90DANB,EFR376-B-RED-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742,doe,3.1,215.0,EFR376-B-RED-6COM,False
BC-90DANB,EFR376-BLACK-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742,doe,3.1,215.0,EFR376-BLACK-6COM,False
BCD-95ANB,HBF3220-RED,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,HBF3220-RED,False
BCD-95ANB,TFR834-D,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,TFR834-D,False
BCD-95ANB,EFR840-B-RED-6COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-B-RED-6COM,False
BCD-95ANB,EFR840-B-MINT,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-B-MINT,False
BCD-95ANB,EFR840-C-BLACK-COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-C-BLACK-COM,False
BCD-95ANB,EFR840-B-BLACK-6COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-B-BLACK-6COM,False
BCD-95ANB,EFR840-C-RED-COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-C-RED-COM,False
BC-98CNB,MAR35SS,260.0,3.6,(13A.) Compact all-refrigerators - automatic defrost,72.22222222222221,doe,3.6,260.0,MAR35SS,False
C75,C75,184.0,2.4,(11A.) Compact all-refrigerators - manual defrost,76.66666666666667,doe,2.4,184.0,C75,False
AG42,AG42,188.0,1.5,(11A.) Compact all-refrigerators - manual defrost,125.33333333333333,doe,1.5,188.0,AG42,False
AL42,AL42,188.0,1.5,(11A.) Compact all-refrigerators - manual defrost,125.33333333333333,doe,1.5,188.0,AL42,False
JC-133ENY-C-62H,CCB138GB,298.0,4.3,(13A.) Compact all-refrigerators - automatic defrost,69.30232558139535,doe,4.3,298.0,CCB138GB,False
JC-50NY-C-62H,CCB51GB,274.0,1.7,(13A.) Compact all-refrigerators - automatic defrost,161.1764705882353,doe,1.7,274.0,CCB51GB,False
CR65,CR65,192.0,2.2,(11A.) Compact all-refrigerators - manual defrost,87.27272727272727,doe,2.2,192.0,CR65,False
CCRR4LB,"CCRR4LW, CCRR4LR",324.0,4.3,(12.) Compact refrigerator-freezers - partial automatic defrost,75.34883720930233,doe,4.3,324.0,"CCRR4LW, CCRR4LR",False
BCRR4ALB,"BCRR4ALR, BCRR4ALW",227.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.590909090909086,doe,4.4,227.0,"BCRR4ALR, BCRR4ALW",False
CCRR4ALB,"CCRR4ALW, CCRR4ALR",227.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.590909090909086,doe,4.4,227.0,"CCRR4ALW, CCRR4ALR",False
LC87D6EWD,FC87D6EWD,218.0,15.3,(10.) Chest freezers and all other freezers except compact freezers,14.248366013071895,doe,15.3,218.0,FC87D6EWD,False
ENX52,ENX52,210.0,2.0,(11A.) Compact all-refrigerators - manual defrost,105.0,doe,2.0,210.0,ENX52,False
ENX62,ENX62,208.0,2.3,(11A.) Compact all-refrigerators - manual defrost,90.43478260869566,doe,2.3,208.0,ENX62,False
HBF3200-BLACK,"HBF3200-RED,HBF3200-CORAL,HBF3200-BLUE,HBF3200-WHITE,HBF3200-MOONBM,HBF3200-CREAM,HBF3210-BLACK,HBF3210-WHITE,HBF3210-CORAL,HBF3210-MOONBM,HBF3210-CORAL,HBF3210-BLUE,HBF3210-CREAM",218.0,3.2,(11A.) Compact all-refrigerators - manual defrost,68.125,doe,3.2,218.0,"HBF3200-RED,HBF3200-CORAL,HBF3200-BLUE,HBF3200-WHITE,HBF3200-MOONBM,HBF3200-CREAM,HBF3210-BLACK,HBF3210-WHITE,HBF3210-CORAL,HBF3210-MOONBM,HBF3210-CORAL,HBF3210-BLUE,HBF3210-CREAM",False
E-G45,E-G45,186.0,1.7,(11A.) Compact all-refrigerators - manual defrost,109.41176470588236,doe,1.7,186.0,E-G45,False
TW75,TW75,210.0,2.6,(11A.) Compact all-refrigerators - manual defrost,80.76923076923076,doe,2.6,210.0,TW75,False
TW95,TW95,215.0,3.2,(11A.) Compact all-refrigerators - manual defrost,67.1875,doe,3.2,215.0,TW95,False
TWW95,TWW95,224.0,3.2,(11A.) Compact all-refrigerators - manual defrost,70.0,doe,3.2,224.0,TWW95,False
153(x),153 TTR1047WH,228.0,4.8,(13A.) Compact all-refrigerators - automatic defrost,47.5,doe,4.8,228.0,153 TTR1047WH,False
2451(x),2451 DUF1650WH,256.0,11.6,(16.) Compact upright freezers with manual defrost,22.06896551724138,doe,11.6,256.0,2451 DUF1650WH,False
BCD-127-E,EF-45330-MC-B,330.0,5.5,(12.) Compact refrigerator-freezers - partial automatic defrost,60.0,doe,5.5,330.0,EF-45330-MC-B,False
BC-128C-E,CREF 45 SS,252.0,4.4,(11A.) Compact all-refrigerators - manual defrost,57.272727272727266,doe,4.4,252.0,CREF 45 SS,False
G45,G45,189.0,1.8,(11A.) Compact all-refrigerators - manual defrost,105.0,doe,1.8,189.0,G45,False
BD110,BD110,206.0,3.6,(11A.) Compact all-refrigerators - manual defrost,57.22222222222222,doe,3.6,206.0,BD110,False
G135D,G135D,242.0,4.5,(11A.) Compact all-refrigerators - manual defrost,53.77777777777778,doe,4.5,242.0,G135D,False
E45,E45,186.0,1.7,(11A.) Compact all-refrigerators - manual defrost,109.41176470588236,doe,1.7,186.0,E45,False
