Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
BC-94DJ1NA1/HC1(Q),RC33A1GWE,260.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,78.7878787878788,doe,3.3,260.0,RC33A1GWE,False
BC-50DAN,EFR176-BLUE-6COM,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0,doe,1.6,200.0,EFR176-BLUE-6COM,False
BC-50DAN,EFR176-C-BLACK_AMZ,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0,doe,1.6,200.0,EFR176-C-BLACK_AMZ,False
BC-90DANB,EFR376-B-RED-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742,doe,3.1,215.0,EFR376-B-RED-6COM,False
BC-90DANB,EFR376-BLACK-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742,doe,3.1,215.0,EFR376-BLACK-6COM,False
BCD-95ANB,HBF3220-RED,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,HBF3220-RED,False
BCD-95ANB,TFR834-D,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,TFR834-D,False
BCD-95ANB,EFR840-B-RED-6COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-B-RED-6COM,False
BCD-95ANB,EFR840-B-MINT,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-B-MINT,False
BCD-95ANB,EFR840-C-BLACK-COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-C-BLACK-COM,False
BCD-95ANB,EFR840-B-BLACK-6COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-B-BLACK-6COM,False
BCD-95ANB,EFR840-C-RED-COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474,doe,3.8,350.0,EFR840-C-RED-COM,False
BC-98CNB,MAR35SS,260.0,3.6,(13A.) Compact all-refrigerators - automatic defrost,72.22222222222221,doe,3.6,260.0,MAR35SS,False
BC-428AN,MAR149SS,275.0,15.1,(3A.) All-refrigerators - automatic defrost,18.211920529801326,doe,15.1,275.0,MAR149SS,False
BC-428AN,MAR149W,275.0,15.1,(3A.) All-refrigerators - automatic defrost,18.211920529801326,doe,15.1,275.0,MAR149W,False
C75,C75,184.0,2.4,(11A.) Compact all-refrigerators - manual defrost,76.66666666666667,doe,2.4,184.0,C75,False
AG42,AG42,188.0,1.5,(11A.) Compact all-refrigerators - manual defrost,125.33333333333333,doe,1.5,188.0,AG42,False
AL42,AL42,188.0,1.5,(11A.) Compact all-refrigerators - manual defrost,125.33333333333333,doe,1.5,188.0,AL42,False
7W7P11-07,ASI2175G**0*,660.0,26.6,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,24.81203007518797,doe,26.6,660.0,ASI2175G..0.,False
7w7p40-19,WRS325SDH*0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285,doe,31.5,702.0,WRS325SDH.0.,False
JC-133ENY-C-62H,CCB138GB,298.0,4.3,(13A.) Compact all-refrigerators - automatic defrost,69.30232558139535,doe,4.3,298.0,CCB138GB,False
JC-50NY-C-62H,CCB51GB,274.0,1.7,(13A.) Compact all-refrigerators - automatic defrost,161.1764705882353,doe,1.7,274.0,CCB51GB,False
CR65,CR65,192.0,2.2,(11A.) Compact all-refrigerators - manual defrost,87.27272727272727,doe,2.2,192.0,CR65,False
CTR22**#,CTR22**#,437.0,25.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.341269841269842,doe,25.2,437.0,CTR22...,False
CCRR4LB,"CCRR4LW, CCRR4LR",324.0,4.3,(12.) Compact refrigerator-freezers - partial automatic defrost,75.34883720930233,doe,4.3,324.0,"CCRR4LW, CCRR4LR",False
BCRR4ALB,"BCRR4ALR, BCRR4ALW",227.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.590909090909086,doe,4.4,227.0,"BCRR4ALR, BCRR4ALW",False
CCRR4ALB,"CCRR4ALW, CCRR4ALR",227.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.590909090909086,doe,4.4,227.0,"CCRR4ALW, CCRR4ALR",False
LC87D6EWD,FC87D6EWD,218.0,15.3,(10.) Chest freezers and all other freezers except compact freezers,14.248366013071895,doe,15.3,218.0,FC87D6EWD,False
4w3ig80-50,WRT318FZD***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,WRT318FZD...,False
4w3ig80-50,MRT118FFF***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,MRT118FFF...,False
4w3ig80-50,ART318FFD*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,ART318FFD.,False
4w3g80-50,WRT108FZD*0*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183,doe,22.0,411.0,WRT108FZD.0.,False
4w3g80-50,WRT108FFD***,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183,doe,22.0,411.0,WRT108FFD...,False
4w3g80-50,ART308FFD*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183,doe,22.0,411.0,ART308FFD.,False
4w5ig00-09,WRFA60SFH*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,WRFA60SFH.0.,False
4w5ig00-09,WRF560SFY*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,WRF560SFY.0.,False
