Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume
HS-60LN(SNZ),ARM17A5ABB,246.0,1.7,(13A.) Compact all-refrigerators - automatic defrost,144.7058823529412
HS-259CN(SNZK),MRC07M7AWW,225.0,12.3,(18.) Compact chest freezers,18.29268292682927
HS-121LN(S4NZ1),MRM33S9ASL,220.0,3.3,(11A.) Compact all-refrigerators - manual defrost,66.66666666666667
BC-94DJ1NA1/HC1(Q),RC33A1GWE,260.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,78.7878787878788
BC-122/HC1(H),LMS044M6RBE,269.0,4.4,(13A.) Compact all-refrigerators - automatic defrost,61.13636363636363
8W5I90-05,7931***,553.0,23.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.043478260869566
8W5I90-05,MBF1958DE*,553.0,23.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.043478260869566
BC-132CNB,RFR453,264.0,4.5,(13A.) Compact all-refrigerators - automatic defrost,58.666666666666664
BC-132CNB,RFR464-C-BLACK,264.0,4.5,(13A.) Compact all-refrigerators - automatic defrost,58.666666666666664
BC-132CNB,RFR465-E,264.0,4.5,(13A.) Compact all-refrigerators - automatic defrost,58.666666666666664
BC-132ANB,RFR441-6COM,226.0,4.5,(11A.) Compact all-refrigerators - manual defrost,50.22222222222222
BC-70DAN,RFR283-B-WHITE,210.0,2.5,(11A.) Compact all-refrigerators - manual defrost,84.0
BC-70DAN,RFR283-F-STAINLESS,210.0,2.5,(11A.) Compact all-refrigerators - manual defrost,84.0
BC-50DAN,EFR176-BLUE-6COM,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-50DAN,EFR115-B-ORANGE,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-50DAN,EFR176-C-BLACK_AMZ,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-50DAN,EFR115-B-GREEN_AMZ,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-50DAN,EFR115-C-BLUE,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-50DAN,RFR115-C-BLACK-6COM,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-50DAN,HBF1600-CREAM-6COM,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-50DAN,HBF1600-BLUE-6COM,200.0,1.6,(11A.) Compact all-refrigerators - manual defrost,125.0
BC-90DANB,EFR376-B-RED-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742
BC-90DANB,EFR376-BLACK-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742
BC-90DANB,RFR335-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742
BC-90DANB,RFR321-BLACK-6COM,215.0,3.1,(11A.) Compact all-refrigerators - manual defrost,69.35483870967742
BCD-95ANB,HBF3220-RED,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,TFR834-D,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,TFR834,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,RFR836-F,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,RFR836,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,RFR834,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,RFR834-F,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,EFR840-B-RED-6COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,EFR341-B-AMZ,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,EFR840-B-MINT,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,EFR840-C-BLACK-COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
