Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,2ATMW212E,396,25.6,No,15.46875,3,25.6,396.0,2ATMW212E
11A - Compact All-Refrigerator - manual defrost,2AW1BF26A,215,2.6,Yes,82.6923076923077,11A,2.6,215.0,2AW1BF26A
11A - Compact All-Refrigerator - manual defrost,2AW1SLF44A,228,4.4,Yes,51.81818181818181,11A,4.4,228.0,2AW1SLF44A
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,ABM*171E,451,20.9,No,21.578947368421055,5,20.9,451.0,ABM.171E
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,ABM*171E*,451,20.9,No,21.578947368421055,5,20.9,451.0,ABM.171E.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,ATMB212E,396,25.6,No,15.46875,3,25.6,396.0,ATMB212E
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,ATMSL212E,396,25.6,No,15.46875,3,25.6,396.0,ATMSL212E
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,ATMW212E,396,25.6,No,15.46875,3,25.6,396.0,ATMW212E
4 - Freestanding Cooler,VCS5297TPGVCS5297TPG,159,19.1,No,8.324607329842932,4,19.1,159.0,VCS5297TPGVCS5297TPG
4 - Freestanding Cooler,WCN311942G,199,18.3,No,10.87431693989071,4,18.3,199.0,WCN311942G
3 - Freestanding Compact Cooler,AWC152DPRGLH,143,3.1,Yes,46.12903225806451,3,3.1,143.0,AWC152DPRGLH
3 - Freestanding Compact Cooler,AWC152SPRGLH,144,3.4,Yes,42.35294117647059,3,3.4,144.0,AWC152SPRGLH
3 - Freestanding Compact Cooler,AWC242DPRSLH,157,5.4,Yes,29.074074074074073,3,5.4,157.0,AWC242DPRSLH
3 - Freestanding Compact Cooler,AWC242FDPRG,156,5.2,Yes,30.0,3,5.2,156.0,AWC242FDPRG
3 - Freestanding Compact Cooler,AWC242SPRGLH,160,5.8,Yes,27.586206896551726,3,5.8,160.0,AWC242SPRGLH
4 - Freestanding Cooler,AWC243TDZLHA,242,14.7,No,16.462585034013607,4,14.7,242.0,AWC243TDZLHA
4 - Freestanding Cooler,AWC243TSZLH,247,15.3,No,16.143790849673202,4,15.3,247.0,AWC243TSZLH
12 - Compact Refrigerator-Freezer - partial automatic defrost,A1-3.1CFDDBLK,270,3.8,Yes,71.05263157894737,12,3.8,270.0,A1-3.1CFDDBLK
12 - Compact Refrigerator-Freezer - partial automatic defrost,A1-3.1CFDDSS,270,3.8,Yes,71.05263157894737,12,3.8,270.0,A1-3.1CFDDSS
13A - Compact All-Refrigerators - automatic defrost,AR17T0W,233,1.7,Yes,137.05882352941177,13A,1.7,233.0,AR17T0W
13A - Compact All-Refrigerators - automatic defrost,AR17T1B,238,1.7,Yes,140.0,13A,1.7,238.0,AR17T1B
13A - Compact All-Refrigerators - automatic defrost,AR2406W,230,2.2,Yes,104.54545454545453,13A,2.2,230.0,AR2406W
13A - Compact All-Refrigerators - automatic defrost,AR24T3S,238,2.4,Yes,99.16666666666667,13A,2.4,238.0,AR24T3S
13A - Compact All-Refrigerators - automatic defrost,AR321BB,259,3.2,Yes,80.9375,13A,3.2,259.0,AR321BB
11A - Compact All-Refrigerator - manual defrost,AR32J0W,192,3.2,Yes,60.0,11A,3.2,192.0,AR32J0W
11A - Compact All-Refrigerator - manual defrost,AR32J1B,192,3.2,Yes,60.0,11A,3.2,192.0,AR32J1B
11A - Compact All-Refrigerator - manual defrost,AR32J3S,192,3.2,Yes,60.0,11A,3.2,192.0,AR32J3S
13A - Compact All-Refrigerators - automatic defrost,AR4446B,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,AR4446B
13A - Compact All-Refrigerators - automatic defrost,AR4456SS,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,AR4456SS
11A - Compact All-Refrigerator - manual defrost,AR46J0W,198,4.5,Yes,44.0,11A,4.5,198.0,AR46J0W
11A - Compact All-Refrigerator - manual defrost,AR46J1B,198,4.5,Yes,44.0,11A,4.5,198.0,AR46J1B
11A - Compact All-Refrigerator - manual defrost,AR46J3S,198,4.5,Yes,44.0,11A,4.5,198.0,AR46J3S
13A - Compact All-Refrigerators - automatic defrost,AR52T3SB,256,5.2,Yes,49.230769230769226,13A,5.2,256.0,AR52T3SB
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,FF10B***,297,12.2,No,24.34426229508197,3,12.2,297.0,FF10B...
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,FF14V0W,332,17.0,No,19.529411764705884,3,17.0,332.0,FF14V0W
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,FF14V1B,332,17.0,No,19.529411764705884,3,17.0,332.0,FF14V1B
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,FF14V3S,332,17.0,No,19.529411764705884,3,17.0,332.0,FF14V3S
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,FF18H**,358,21.8,No,16.42201834862385,3,21.8,358.0,FF18H..
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,FF18H0W,358,21.8,No,16.42201834862385,3,21.8,358.0,FF18H0W
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,FF18H3S,358,21.8,No,16.42201834862385,3,21.8,358.0,FF18H3S
13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,FF7B0W,393,8.4,Yes,46.785714285714285,13,8.4,393.0,FF7B0W
13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,FF7B3S,393,8.4,Yes,46.785714285714285,13,8.4,393.0,FF7B3S
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,FFFDD18L3S,442,22.7,No,19.47136563876652,5,22.7,442.0,FFFDD18L3S
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,FFFDS175L3S,435,21.7,No,20.046082949308758,5,21.7,435.0,FFFDS175L3S
12 - Compact Refrigerator-Freezer - partial automatic defrost,MCR74V**,345,8.5,Yes,40.588235294117645,12,8.5,345.0,MCR74V..
13A - Compact All-Refrigerators - automatic defrost,OR1533U3S,225,3.1,Yes,72.58064516129032,13A,3.1,225.0,OR1533U3S
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,ARD1033F*14R/L,297,12.1,No,24.545454545454547,3,12.1,297.0,ARD1033F.14R/L
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,ARD1033FB21R/L,263,12.0,No,21.916666666666668,3,12.0,263.0,ARD1033FB21R/L
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,ARD1033FS21R/L,263,12.0,No,21.916666666666668,3,12.0,263.0,ARD1033FS21R/L
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,ARD1033FW21R/L,263,12.0,No,21.916666666666668,3,12.0,263.0,ARD1033FW21R/L
