Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
11A - Compact All-Refrigerator - manual defrost,2AW1BF26A,215,2.6,Yes,82.6923076923077,11A,2.6,215.0,2AW1BF26A
11A - Compact All-Refrigerator - manual defrost,2AW1SLF44A,228,4.4,Yes,51.81818181818181,11A,4.4,228.0,2AW1SLF44A
3 - Freestanding Compact Cooler,AWC152DPRGLH,143,3.1,Yes,46.12903225806451,3,3.1,143.0,AWC152DPRGLH
3 - Freestanding Compact Cooler,AWC152SPRGLH,144,3.4,Yes,42.35294117647059,3,3.4,144.0,AWC152SPRGLH
3 - Freestanding Compact Cooler,AWC242DPRSLH,157,5.4,Yes,29.074074074074073,3,5.4,157.0,AWC242DPRSLH
3 - Freestanding Compact Cooler,AWC242FDPRG,156,5.2,Yes,30.0,3,5.2,156.0,AWC242FDPRG
3 - Freestanding Compact Cooler,AWC242SPRGLH,160,5.8,Yes,27.586206896551726,3,5.8,160.0,AWC242SPRGLH
12 - Compact Refrigerator-Freezer - partial automatic defrost,A1-3.1CFDDBLK,270,3.8,Yes,71.05263157894737,12,3.8,270.0,A1-3.1CFDDBLK
12 - Compact Refrigerator-Freezer - partial automatic defrost,A1-3.1CFDDSS,270,3.8,Yes,71.05263157894737,12,3.8,270.0,A1-3.1CFDDSS
13A - Compact All-Refrigerators - automatic defrost,AR17T0W,233,1.7,Yes,137.05882352941177,13A,1.7,233.0,AR17T0W
13A - Compact All-Refrigerators - automatic defrost,AR17T1B,238,1.7,Yes,140.0,13A,1.7,238.0,AR17T1B
13A - Compact All-Refrigerators - automatic defrost,AR2406W,230,2.2,Yes,104.54545454545453,13A,2.2,230.0,AR2406W
13A - Compact All-Refrigerators - automatic defrost,AR24T3S,238,2.4,Yes,99.16666666666667,13A,2.4,238.0,AR24T3S
13A - Compact All-Refrigerators - automatic defrost,AR321BB,259,3.2,Yes,80.9375,13A,3.2,259.0,AR321BB
11A - Compact All-Refrigerator - manual defrost,AR32J0W,192,3.2,Yes,60.0,11A,3.2,192.0,AR32J0W
11A - Compact All-Refrigerator - manual defrost,AR32J1B,192,3.2,Yes,60.0,11A,3.2,192.0,AR32J1B
11A - Compact All-Refrigerator - manual defrost,AR32J3S,192,3.2,Yes,60.0,11A,3.2,192.0,AR32J3S
13A - Compact All-Refrigerators - automatic defrost,AR4446B,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,AR4446B
13A - Compact All-Refrigerators - automatic defrost,AR4456SS,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,AR4456SS
11A - Compact All-Refrigerator - manual defrost,AR46J0W,198,4.5,Yes,44.0,11A,4.5,198.0,AR46J0W
11A - Compact All-Refrigerator - manual defrost,AR46J1B,198,4.5,Yes,44.0,11A,4.5,198.0,AR46J1B
11A - Compact All-Refrigerator - manual defrost,AR46J3S,198,4.5,Yes,44.0,11A,4.5,198.0,AR46J3S
13A - Compact All-Refrigerators - automatic defrost,AR52T3SB,256,5.2,Yes,49.230769230769226,13A,5.2,256.0,AR52T3SB
13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,FF7B0W,393,8.4,Yes,46.785714285714285,13,8.4,393.0,FF7B0W
13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,FF7B3S,393,8.4,Yes,46.785714285714285,13,8.4,393.0,FF7B3S
12 - Compact Refrigerator-Freezer - partial automatic defrost,MCR74V**,345,8.5,Yes,40.588235294117645,12,8.5,345.0,MCR74V..
13A - Compact All-Refrigerators - automatic defrost,OR1533U3S,225,3.1,Yes,72.58064516129032,13A,3.1,225.0,OR1533U3S
13A - Compact All-Refrigerators - automatic defrost,ARD104AB14R/L,242,1.1,Yes,219.99999999999997,13A,1.1,242.0,ARD104AB14R/L
13A - Compact All-Refrigerators - automatic defrost,ARD104AB21R/L,242,1.1,Yes,219.99999999999997,13A,1.1,242.0,ARD104AB21R/L
13A - Compact All-Refrigerators - automatic defrost,ARD204AB14R/L,249,2.0,Yes,124.5,13A,2.0,249.0,ARD204AB14R/L
13A - Compact All-Refrigerators - automatic defrost,ARD204AB21R/L,249,2.0,Yes,124.5,13A,2.0,249.0,ARD204AB21R/L
13A - Compact All-Refrigerators - automatic defrost,ARD204ABS14R/L,249,2.0,Yes,124.5,13A,2.0,249.0,ARD204ABS14R/L
13A - Compact All-Refrigerators - automatic defrost,ARD204ABS21R/L,249,2.0,Yes,124.5,13A,2.0,249.0,ARD204ABS21R/L
13A - Compact All-Refrigerators - automatic defrost,ARD244A*21R/L,223,2.3,Yes,96.95652173913044,13A,2.3,223.0,ARD244A.21R/L
12 - Compact Refrigerator-Freezer - partial automatic defrost,ARD298C*14R/L,319,3.6,Yes,88.61111111111111,12,3.6,319.0,ARD298C.14R/L
13A - Compact All-Refrigerators - automatic defrost,ARD369A*14R/L,262,3.6,Yes,72.77777777777777,13A,3.6,262.0,ARD369A.14R/L
13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,ARD484F*10R/L,346,5.8,Yes,59.6551724137931,13,5.8,346.0,ARD484F.10R/L
13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,ARD484F*21R/L,346,5.8,Yes,59.6551724137931,13,5.8,346.0,ARD484F.21R/L
12 - Compact Refrigerator-Freezer - partial automatic defrost,AMA31**E,320,3.8,Yes,84.21052631578948,12,3.8,320.0,AMA31..E
12 - Compact Refrigerator-Freezer - partial automatic defrost,AMA31S5E,320,3.1,Yes,103.2258064516129,12,3.1,320.0,AMA31S5E
11 - Compact Refrigerator and Refrigerator-Freezer other than All-Refrigerator - manual defrost,AMA43BKE,228,4.3,Yes,53.02325581395349,11,4.3,228.0,AMA43BKE
13A - Compact All-Refrigerators - automatic defrost,AMA43R**E,268,4.3,Yes,62.32558139534884,13A,4.3,268.0,AMA43R..E
11A - Compact All-Refrigerator - manual defrost,AMAR27S1E,214,2.6,Yes,82.3076923076923,11A,2.6,214.0,AMAR27S1E
12 - Compact Refrigerator-Freezer - partial automatic defrost,AMAR31T**E,320,3.8,Yes,84.21052631578948,12,3.8,320.0,AMAR31T..E
11A - Compact All-Refrigerator - manual defrost,AMAR35S1E,220,3.4,Yes,64.70588235294117,11A,3.4,220.0,AMAR35S1E
11A - Compact All-Refrigerator - manual defrost,AMAR43**E,228,4.3,Yes,53.02325581395349,11A,4.3,228.0,AMAR43..E
12 - Compact Refrigerator-Freezer - partial automatic defrost,AMAR46TS1E,325,5.6,Yes,58.03571428571429,12,5.6,325.0,AMAR46TS1E
11A - Compact All-Refrigerator - manual defrost,KS-48RHL,208,1.6,Yes,130.0,11A,1.6,208.0,KS-48RHL
11A - Compact All-Refrigerator - manual defrost,KS-91RHL,219,3.2,Yes,68.4375,11A,3.2,219.0,KS-91RHL
12 - Compact Refrigerator-Freezer - partial automatic defrost,MPBFR401A,291,4.7,Yes,61.91489361702128,12,4.7,291.0,MPBFR401A
12 - Compact Refrigerator-Freezer - partial automatic defrost,MPWFR401A,291,4.7,Yes,61.91489361702128,12,4.7,291.0,MPWFR401A
12 - Compact Refrigerator-Freezer - partial automatic defrost,MVSFR401A,291,4.7,Yes,61.91489361702128,12,4.7,291.0,MVSFR401A
12 - Compact Refrigerator-Freezer - partial automatic defrost,CR31TABDDSS,270,3.8,Yes,71.05263157894737,12,3.8,270.0,CR31TABDDSS
11A - Compact All-Refrigerator - manual defrost,CR44CABSDSS,226,4.4,Yes,51.36363636363636,11A,4.4,226.0,CR44CABSDSS
11A - Compact All-Refrigerator - manual defrost,AFRM045AES,226,4.5,Yes,50.22222222222222,11A,4.5,226.0,AFRM045AES
13A - Compact All-Refrigerators - automatic defrost,ABDA049ADBS,270,4.9,Yes,55.10204081632653,13A,4.9,270.0,ABDA049ADBS
11A - Compact All-Refrigerator - manual defrost,AFRM016AEB,207,1.6,Yes,129.375,11A,1.6,207.0,AFRM016AEB
11A - Compact All-Refrigerator - manual defrost,AFRM016BEB,207,1.6,Yes,129.375,11A,1.6,207.0,AFRM016BEB
11A - Compact All-Refrigerator - manual defrost,AFRM024AES,213,2.4,Yes,88.75,11A,2.4,213.0,AFRM024AES
11A - Compact All-Refrigerator - manual defrost,AFRM033AEB,220,3.3,Yes,66.66666666666667,11A,3.3,220.0,AFRM033AEB
11A - Compact All-Refrigerator - manual defrost,AFRM033AES,220,3.3,Yes,66.66666666666667,11A,3.3,220.0,AFRM033AES
11A - Compact All-Refrigerator - manual defrost,AFRM033BEB,220,3.3,Yes,66.66666666666667,11A,3.3,220.0,AFRM033BEB
11A - Compact All-Refrigerator - manual defrost,AFRM044AEB,228,4.4,Yes,51.81818181818181,11A,4.4,228.0,AFRM044AEB
11A - Compact All-Refrigerator - manual defrost,AFRM044AES,228,4.4,Yes,51.81818181818181,11A,4.4,228.0,AFRM044AES
11A - Compact All-Refrigerator - manual defrost,AFRM044AEW,228,4.4,Yes,51.81818181818181,11A,4.4,228.0,AFRM044AEW
11A - Compact All-Refrigerator - manual defrost,ARM024S1ARBB,213,2.4,Yes,88.75,11A,2.4,213.0,ARM024S1ARBB
