Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Arctic King,(13A.) Compact all-refrigerators - automatic defrost,HS-60LN(SNZ),ARM17A5ABB,1.7,246.0,1.7,No,No,https://wx1.sinaimg.cn/mw2000/7db66851ly1h1861t10lsj20b40f2q55.jpg
Midea,(18.) Compact chest freezers,HS-259CN(SNZK),MRC07M7AWW,12.3,225.0,7.0,No,No,By annual report date
Midea,(11A.) Compact all-refrigerators - manual defrost,HS-121LN(S4NZ1),MRM33S9ASL,3.3,220.0,3.3,No,No,By annual report date
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-94DJ1NA1/HC1(Q),RC33A1GWE,3.3,260.0,3.3,No,No,https://www.hisense-canada.com/en/home-appliances/all-refrigerators/ [hisense-canada.com]
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-122/HC1(H),LMS044M6RBE,4.4,269.0,4.4,No,No,https://www.hisense-canada.com/en/home-appliances/compact-refrigerators/?prop285=Compact
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5I90-05,7931***,23.0,553.0,18.7,No,No,https://www.kenmore.com/energyguide/
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5I90-05,MBF1958DE*,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html
RCA,(13A.) Compact all-refrigerators - automatic defrost,BC-132CNB,RFR453,4.5,264.0,4.5,No,No,By annual report date
RCA,(13A.) Compact all-refrigerators - automatic defrost,BC-132CNB,RFR464-C-BLACK,4.5,264.0,4.5,No,No,By annual report date
RCA,(13A.) Compact all-refrigerators - automatic defrost,BC-132CNB,RFR465-E,4.5,264.0,4.5,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-132ANB,RFR441-6COM,4.5,226.0,4.5,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-70DAN,RFR283-B-WHITE,2.5,210.0,2.5,No,No,By annual report date
RCA,(11A.) Compact all-refrigerators - manual defrost,BC-70DAN,RFR283-F-STAINLESS,2.5,210.0,2.5,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,EFR176-BLUE-6COM,1.6,200.0,1.6,No,No,By annual report date
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,EFR115-B-ORANGE,1.6,200.0,1.6,No,No,By annual report date
