Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Midea,Vented Gas,MDV170-VG042/F01-US13,MLTG45N4BWW,7.0,,16000.0,Yes,3.3,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,MLTE37A1BWW,6.7,240.0,,Yes,3.73,No,No
Midea,Vented Gas,MDD160-VG012/F0110E-US13,MLTG37A1BWW,6.7,,16000.0,Yes,3.3,No,No
ELEMENT,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,EATDE2767CW,6.7,240.0,,Yes,3.73,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,MD500E67/W-PR,6.7,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L23Q1AG1AG0,WED6150P**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L23Q1AG1AJ0,WGD6150P**,7.0,,21965.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG29,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG29,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG18,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L21Q2AG1AG1,WED5010L**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L21Q2AG1AG1,WED5050L**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22Q2BG1AG1,MED4500M**,7.0,240.0,,Yes,3.73,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE47CG35***,DVE47CG35***,7.4,240.0,,Yes,3.73,No,No
ELEMENT,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,ETDE6727CW,6.7,240.0,,Yes,3.73,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M62E_1_TA,5TX62E9*T***,6.2,240.0,,Yes,3.73,No,No
Crosley,Vented Gas,M62G_4_TA,5TX62G9*T***,6.2,,22000.0,Yes,3.3,No,No
CROSLEY,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDD160-A2301E/1305,CDME67104CX,6.7,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ16,WGD4810E**,7.0,,22037.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ16,WGD4815E**,7.0,,22037.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG17,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L18QAG1AJ10,WGD4950H**,7.0,,21956.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG28,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG17,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
KOOLMORE,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,FLC-3CWH,2.8,120.0,,Yes,2.08,No,No
Black+Decker,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,BCW27MW,2.8,120.0,,Yes,2.08,No,No
MAGIC CHEF,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,MCSCWD27S5,2.8,120.0,,Yes,2.08,No,No
Samsung,Vented Gas,DVG55CG71***,DVG55CG71***,7.4,,20000.0,Yes,3.3,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH200-V012/A01HS-US,MLE45N1BWW,7.5,240.0,,Yes,3.73,No,No
Criterion,Vented Gas,MDD160-VG012/F0110E-US13,CDG41N1AW,6.7,,16000.0,Yes,3.3,No,No
Midea,Vented Gas,MDD160-VG062/F01-US13,MLG41N1AWW,6.7,,16000.0,Yes,3.3,No,No
Comfee,"Ventless Electric, Combination Washer-Dryer",MFC120-DU1421BS/C14E-US,CLC27N3AWW,2.7,120.0,,Yes,2.08,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZTEE9***176+,7.0,240.0,,Yes,3.73,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZDE4B***176+,7.0,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ADE4***177T***,6.9,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ATEE9***176+,7.0,240.0,,Yes,3.73,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ADE3S***175+,7.0,240.0,,Yes,3.73,No,No
GE,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",DSKS333EC3WW,DSKP333EXXXX,3.6,120.0,,Yes,3.61,No,No
GE,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",DSKS433EB4WW,DSKS433EXXXX,3.6,240.0,,Yes,3.27,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GFDS170EH0WW,GFDN160EXXXX,7.5,240.0,,Yes,3.73,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTD33EASK0WW,GTD33EA*K***,7.2,240.0,,Yes,3.73,No,No
GE,Vented Gas,GTD42GASJ0WW,GTD42GASJXXX,7.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,GTD42GASJ0WW,GTD45GASJXXX,7.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M72G_4_JC,GTD42GA*J***,7.2,,22000.0,Yes,3.3,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTD42EASJ0WW,GTD42EASJXXX,7.2,240.0,,Yes,3.73,No,No
Hotpoint,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTX42EASJ0WW,HTX21EA*K***,6.2,240.0,,Yes,3.73,No,No
Hotpoint,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTX42EASJ0WW,HTX24EA*K***,6.2,240.0,,Yes,3.73,No,No
GE,Vented Gas,GTX42GASJ0WW,GTX22GA*K***,6.2,,22000.0,Yes,3.3,No,No
GE,Vented Gas,M62G_4_JC,GTX42GA*J***,6.2,,22000.0,Yes,3.3,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M62E_1_P,GTX52EA*P***,6.2,240.0,,Yes,3.73,No,No
Mabe,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M60E_1_M,CLME71214BAT0,6.0,240.0,,Yes,3.73,No,No
GE,Vented Gas,M60G_4_M,GUD27GSPM***,6.0,,18000.0,Yes,3.3,No,No
