Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA45T34**A*,WA45T34**A*,4.5,1.57,6.5,39.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa44a3405aw-us-energylabel.pdf
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA44A3405A*,WA44A3405A*,4.4,1.57,6.5,39.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa44a3405aw-us-energylabel.pdf
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF50A88**A*,WF50A88**A*,5.0,3.1,2.9,39.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf50a88av-us-energylabel.pdf
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF50A86**A*,WF50A86**A*,5.0,3.1,2.9,29.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf50a8600av-us-energylabel.pdf
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WV60A99**A*-L,WV60A99**A*-L,5.0,2.92,2.9,29.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wv60a9900av-us-energylabel.pdf
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45A64**A*,WF45A64**A*,4.5,3.1,2.9,26.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf45a6400av-us-energylabel.pdf
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA55A73**A*,WA55A73**A*,5.5,2.06,4.3,36.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa55a7300ae-us-energylabel.pdf
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54A7305A*,WA54A7305A*,5.4,2.06,4.3,37.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa54a7305ae-us-energylabel.pdf
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA52A55**A*,WA52A55**A*,5.2,2.06,4.3,36.0,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa52a5500ap-us-energylabel.pdf
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA51A5505A*,WA51A5505A*,5.1,2.06,4.3,39.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa51a5505ap-us-energylabel.pdf
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA50B51**A*,WA50B51**A*,5.0,1.57,6.5,37.5,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa50b5100av-us-energylabel.pdf
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA40B3005A*,WA40B3005A*,4.0,1.57,6.5,39.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa40b3005aw-us-energylabel.pdf
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WW25B69**A*,WW25B69**A*,2.5,2.25,3.7,31.4,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-ww25b6900aw-us-energylabel.pdf
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WF46BG65**A*,WF46BG65**A*,4.6,3.1,2.9,29.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wf46bg6500av-us-energylabel.pdf
SUMMIT,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC120-DU1421BS/C14E-US,SPWD2202W**,2.7,1.84,4.7,29.8,No,No,https://eguides.fsiworldwide.com/label/222.pdf
SUMMIT,"Front-loading, standard (1.6 ft3 or greater capacity)",SLW241W,SLW241W**,2.3,2.1,3.5,31.7,No,No,https://eguides.fsiworldwide.com/label/323.pdf
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zCG51(3B),3165*20*,5.3,2.06,4.3,34.0,No,No,http://www.whirlpool.com/manuals
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh518(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals
