Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA45T34**A*,WA45T34**A*,4.5,1.57,6.5,39.9,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa44a3405aw-us-energylabel.pdf,WA45T34..A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA44A3405A*,WA44A3405A*,4.4,1.57,6.5,39.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa44a3405aw-us-energylabel.pdf,WA44A3405A.
Samsung,"Front-loading, standard (1.6 ft3 or greater capacity)",WV60A99**A*-L,WV60A99**A*-L,5.0,2.92,2.9,29.7,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wv60a9900av-us-energylabel.pdf,WV60A99..A.-L
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA50B51**A*,WA50B51**A*,5.0,1.57,6.5,37.5,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa50b5100av-us-energylabel.pdf,WA50B51..A.
Samsung,"Top-loading, standard (1.6 ft3 or greater capacity)",WA40B3005A*,WA40B3005A*,4.0,1.57,6.5,39.2,No,No,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-wa40b3005aw-us-energylabel.pdf,WA40B3005A.
SUMMIT,"Front-loading, standard (1.6 ft3 or greater capacity)",MFC120-DU1421BS/C14E-US,SPWD2202W**,2.7,1.84,4.7,29.8,No,No,https://eguides.fsiworldwide.com/label/222.pdf,SPWD2202W..
SUMMIT,"Front-loading, standard (1.6 ft3 or greater capacity)",SLW241W,SLW241W**,2.3,2.1,3.5,31.7,No,No,https://eguides.fsiworldwide.com/label/323.pdf,SLW241W..
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh518(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals,NTW4516F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh518(3B),WTW4616F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4616F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh518(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4816F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V20aAX53(3B),WTW5057L**,4.7,1.57,6.5,40.0,No,No,http://www.whirlpool.com/manuals,WTW5057L..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx516(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4855H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx516(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4955H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAF59(3B),WTW6120H**,4.8,1.57,6.5,41.1,No,No,http://www.whirlpool.com/manuals,WTW6120H..
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh519(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals,NTW4516F..
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh519(3B),NTW4665G**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals,NTW4665G..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh519(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4816F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V20aAX54(3B),WTW5057L**,4.7,1.57,6.5,40.0,No,No,http://www.whirlpool.com/manuals,WTW5057L..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sBx516(3B),MVWC465H**,3.8,1.57,6.5,39.9,No,No,http://www.whirlpool.com/manuals,MVWC465H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx517(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4955H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA4518(3B),WGTLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WGTLV27H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx518(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4955H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V20aAX55(3B),WTW5057L**,4.7,1.57,6.5,40.0,No,No,http://www.whirlpool.com/manuals,WTW5057L..
Conservator,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nNu60(3B),VAW3584G**,3.5,1.57,6.5,45.4,No,No,http://www.whirlpool.com/manuals,VAW3584G..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17uB657(3B),MVWP575G**,3.5,1.57,6.5,46.6,No,No,http://www.whirlpool.com/manuals,MVWP575G..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17uB657(3B),MVWP576G**,3.5,1.57,6.5,46.6,No,No,http://www.whirlpool.com/manuals,MVWP576G..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAD59(3B),WTW5105H**,4.7,1.57,6.5,41.4,No,No,http://www.whirlpool.com/manuals,WTW5105H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAF60(3B),WTW5100H**,4.8,1.57,6.5,41.1,No,No,http://www.whirlpool.com/manuals,WTW5100H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V21aBV51(3B),MVW5035M**,4.5,1.57,6.5,39.7,No,No,http://www.whirlpool.com/manuals,MVW5035M..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V21aBV51(3B),MVW4505M**,4.5,1.57,6.5,39.7,No,No,http://www.whirlpool.com/manuals,MVW4505M..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V22aBh50(3B),MVW6500M**,4.7,1.57,6.5,41.0,No,No,http://www.whirlpool.com/manuals,MVW6500M..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V22uB650(3B),MVWP585G**,3.5,1.57,6.5,48.2,No,No,http://www.whirlpool.com/manuals,MVWP585G..
Roper,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nGh53(3B),RTW4516F**,3.5,1.57,6.5,44.3,No,No,http://www.whirlpool.com/manuals,RTW4516F..
Roper,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nGh54(3B),RTW4516F**,3.5,1.57,6.5,44.3,No,No,http://www.whirlpool.com/manuals,RTW4516F..
