Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
LG,Standard size dishwasher,LDP681***,LDP681***,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers,LDP681...
LG,Standard size dishwasher,LDP679#**,LDP679#**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers,LDP679...
hOme,Compact dishwasher,WQP6-3601-US,HME010393N,203.0,3.1,6.0,No,No,By annual report date,HME010393N
Farberware,Compact dishwasher,WQP6-3601-US,FCD06ASWWHC,203.0,3.1,6.0,No,No,By annual report date,FCD06ASWWHC
Farberware,Compact dishwasher,WQP6-3601-US,FCD06ABBWHA,203.0,3.1,6.0,No,No,By annual report date,FCD06ABBWHA
THORKITCHEN,Standard size dishwasher,PDT660#,HDW2401BS,249.0,3.5,14.0,No,No,By annual report date,HDW2401BS
KUCHT,Standard size dishwasher,PDT660#,K6502D,249.0,3.5,14.0,No,No,By annual report date,K6502D
KUCHT Professional,Standard size dishwasher,WQP8-7740-US,K7740D,270.0,3.5,8.0,No,No,By annual report date,K7740D
Honeywell,Standard size dishwasher,WQP8-7740-US,HDS18SS,234.0,3.1,8.0,No,No,By annual report date,HDS18SS
Zline,Standard size dishwasher,PDT660#,DWMT-24,249.0,3.5,14.0,No,No,By annual report date,DWMT-24
Zline,Standard size dishwasher,WQP12-7739-US,DW7713-24,234.0,3.5,10.0,No,No,By annual report date,DW7713-24
SPT,Standard size dishwasher,PDT660#,SD-6502W,249.0,3.5,14.0,No,No,By annual report date,SD-6502W
SPT,Standard size dishwasher,WQP12-7711I-US,SD-9263W,265.0,3.5,8.0,No,No,By annual report date,SD-9263W
SPT,Standard size dishwasher,WQP12-7711I-US,SD-9263SS,265.0,3.5,8.0,No,No,By annual report date,SD-9263SS
SPT,Standard size dishwasher,WQP12-7711I-US,SD-6513SS,240.0,3.5,8.0,No,No,By annual report date,SD-6513SS
SPT,Compact dishwasher,WQP6-3601-US,SD-2225DS,203.0,3.1,6.0,No,No,By annual report date,SD-2225DS
SPT,Standard size dishwasher,WQP8-7740-US,SD-9254SS,234.0,3.1,8.0,No,No,By annual report date,SD-9254SS
SPT,Standard size dishwasher,WQP8-7740-US,SD-9254W,234.0,3.1,8.0,No,No,By annual report date,SD-9254W
SPT,Standard size dishwasher,PDT660#,SD-6501SS,249.0,3.5,14.0,No,No,By annual report date,SD-6501SS
SHARP,Standard size dishwasher,PDT660#,SDW6747GS,249.0,3.5,14.0,No,No,By annual report date,SDW6747GS
SHARP,Standard size dishwasher,PDT660#,SDW6757ES,249.0,3.5,14.0,No,No,By annual report date,SDW6757ES
IKEA,Standard size dishwasher,404.621.69,404.621.69,270.0,3.5,8.0,No,No,https://www.IKEA.com,404.621.69
Whirlpool,Standard size dishwasher,WQP8-7740-US,WDF518SAH*,234.0,3.1,8.0,No,No,https://www.whirlpool.com/,WDF518SAH.
Whirlpool,Standard size dishwasher,WQP12-7739-US,UDT555SAHP,234.0,3.5,10.0,No,No,https://www.whirlpool.com/,UDT555SAHP
Whirlpool,Standard size dishwasher,WQP12-7739-US,WDF550SAH*,234.0,3.5,10.0,No,No,https://www.whirlpool.com/,WDF550SAH.
MAGIC CHEF,Compact dishwasher,WQP6-3601-US,MCSCD6B5,203.0,3.1,6.0,No,No,https://mcappliance.com/media/energy_guides/MCSCD6B5_EnergyGuide.pdf,MCSCD6B5
Kenmore,Standard size dishwasher,WQP8-7740-US,587.146438J,270.0,3.5,8.0,No,No,https://www.electroluxappliances.com/Kitchen-Appliances/Dishwashers/,587.146438J
Kenmore,Standard size dishwasher,WQP8-7740-US,587.146498J,270.0,3.5,8.0,No,No,https://www.electroluxappliances.com/Kitchen-Appliances/Dishwashers/,587.146498J
Frigidaire,Standard size dishwasher,WQP12-7739-US,FFBD2420**,270.0,3.5,10.0,No,No,https://www.electroluxappliances.com/Kitchen-Appliances/Dishwashers/,FFBD2420..
