Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
hOme,Compact dishwasher,WQP6-3601-US,WQP6-3602G-US,203.0,3.1,6.0,No,No,By annual report date,WQP6-3602G-US
Farberware,Compact dishwasher,WQP6-3601-US,FCD06ASSPLB,203.0,3.1,6.0,No,No,By annual report date,FCD06ASSPLB
Farberware,Compact dishwasher,WQP4-2601C-US,FDW05ASBWH*,130.0,1.4,1.0,No,No,By annual report date,FDW05ASBWH.
Farberware,Compact dishwasher,WQP6-3601-US,FCD06ABBBKA,203.0,3.1,6.0,No,No,By annual report date,FCD06ABBBKA
Farberware,Compact dishwasher,WQP4-2605-US,FCDMGDWH,150.0,1.8,1.0,No,No,By annual report date,FCDMGDWH
Farberware,Compact dishwasher,WQP4-2605-US,FCDMSDWH,150.0,1.8,1.0,No,No,By annual report date,FCDMSDWH
AVANTI,Standard size dishwasher,WQP8-7740-US,DW1831D0WE,234.0,3.1,8.0,No,No,http://www.avantiproducts.com,DW1831D0WE
AVANTI,Standard size dishwasher,WQP8-7740-US,DW1833D3SE,234.0,3.1,8.0,No,No,http://www.avantiproducts.com,DW1833D3SE
Cove,Standard size dishwasher,DW2450WS,DW2450WS,282.0,3.1,10.0,No,No,https://www.subzero-wolf.com/-/media/files/united-states/product-downloads/sub-zero-wolf/energy-guides/dw2450ws-energy-guide.pdf,DW2450WS
Miele,Standard size dishwasher,G 5892 SCVi SL,PFD 103 SCiXXL,270.0,3.3,16.0,No,No,https://www.miele.com/,PFD 103 SCiXXL
Miele,Standard size dishwasher,PFD 104 SCViXXL,PG 8056-240,270.0,4.8,8.0,No,No,https://www.miele.com/,PG 8056-240
