Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Arctic King,(13A.) Compact all-refrigerators - automatic defrost,HS-60LN(SNZ),ARM17A5ABB,1.7,246.0,1.7,No,No,https://wx1.sinaimg.cn/mw2000/7db66851ly1h1861t10lsj20b40f2q55.jpg,ARM17A5ABB
Midea,(18.) Compact chest freezers,HS-259CN(SNZK),MRC07M7AWW,12.3,225.0,7.0,No,No,By annual report date,MRC07M7AWW
Midea,(11A.) Compact all-refrigerators - manual defrost,HS-121LN(S4NZ1),MRM33S9ASL,3.3,220.0,3.3,No,No,By annual report date,MRM33S9ASL
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-122/HC1(H),LMS044M6RBE,4.4,269.0,4.4,No,No,https://www.hisense-canada.com/en/home-appliances/compact-refrigerators/?prop285=Compact,LMS044M6RBE
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5I90-05,7931***,23.0,553.0,18.7,No,No,https://www.kenmore.com/energyguide/,7931...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5I90-05,MBF1958DE*,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,MBF1958DE.
RCA,(13A.) Compact all-refrigerators - automatic defrost,BC-132CNB,RFR453,4.5,264.0,4.5,No,No,By annual report date,RFR453
THOMSON,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,TFR834,3.8,350.0,3.1,No,No,By annual report date,TFR834
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR836,3.8,350.0,3.1,No,No,By annual report date,RFR836
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-95ANB,RFR834,3.8,350.0,3.1,No,No,By annual report date,RFR834
APPLIANCE BASICS,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS772FWENW,HS772FWENW,37.0,492.0,21.0,No,No,By annual report date,HS772FWENW
Fisher & Paykel,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RS2474B,RS2474BRU1,13.8,382.0,10.6,No,No,By annual report date,RS2474BRU1
MicroFridge by Danby with SAFE PLUG,(13A.) Compact all-refrigerators - automatic defrost,3.2MF4R,3.2MF4R,3.2,258.0,3.2,No,No,https://www.microfridge.com/en-us/product-resources/,3.2MF4R
IGLOO,(11A.) Compact all-refrigerators - manual defrost,IRF32BK,IRF32BK,3.2,218.0,3.2,No,No,By annual report date,IRF32BK
ARCTIC KING,(16.) Compact upright freezers with manual defrost,HS-109FN(S2NZ),ARU030S1ARSS,5.3,240.0,3.0,No,No,By annual report date,ARU030S1ARSS
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n41-11,WRT134TFD*0*,17.3,336.0,14.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT134TFD.0.
IKEA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n41-11,IRT134FD*0*,17.3,336.0,14.3,No,No,https://www.whirlpool.com/services/manuals.html,IRT134FD.0.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3in10-14,WRT541SZD*0*,26.0,483.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZD.0.
Epic,(1A.) All-refrigerators - manual defrost,ERAR88RED,ERAR88RED,8.3,209.0,8.3,No,No,http://,ERAR88RED
Epic,(1A.) All-refrigerators - manual defrost,ERAR88SVR,ERAR88SVR,8.3,209.0,8.3,No,No,http://,ERAR88SVR
Vissani,(11A.) Compact all-refrigerators - manual defrost,DF1-153MCF,HVR440HSEF,4.4,228.0,4.4,No,No,By annual report date,HVR440HSEF
Vissani,(11A.) Compact all-refrigerators - manual defrost,DF1-153MCF,HVR440HWEF,4.4,228.0,4.4,No,No,By annual report date,HVR440HWEF
PREMIUM LEVELLA,(9.) Upright freezers with automatic defrost without an automatic icemaker,BD-398WE,PFV1406XS,24.6,396.0,14.0,No,No,By annual report date,PFV1406XS
PREMIUM LEVELLA,(9.) Upright freezers with automatic defrost without an automatic icemaker,BD-398WE,PFV1405XW,24.6,396.0,14.0,No,No,By annual report date,PFV1405XW
BougeRV,(11A.) Compact all-refrigerators - manual defrost,E45,E45,1.7,186.0,1.7,No,No,http://doe.alpicool.com/,E45
LG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,LRFGC2706*,LRFGC2706*,33.1,632.0,26.5,No,No,https://www.lg.com/global/support/ftclabel,LRFGC2706.
Hisense,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,WMS053M6XVE,WMS053M6XVE,5.7,273.0,5.4,No,No,https://assets.hisense-usa.com [assets.hisense-usa.com],WMS053M6XVE
MAXXIMUM,(13A.) Compact all-refrigerators - automatic defrost,MAXBC52SD,MAXBC52SD,5.2,258.0,5.2,No,No,By annual report date,MAXBC52SD
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-47/HC1(H),LMS016M6RBE,1.6,246.0,1.6,No,No,https://assets.hisense-usa.com/assets/Energy-Guides/2022/eb54288a53/LMS016M6RBE.pdf [assets.hisense-usa.com],LMS016M6RBE
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-73DJ1NA1/HC1(Q),LMS026M6RBE,2.5,254.0,2.5,No,No,https://assets.hisense-usa.com/assets/Energy-Guides/2022/450b9cb73c/LMS026M6RBE.pdf [assets.hisense-usa.com],LMS026M6RBE
PREMIUM LEVELLA,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,RF-510WI,PRNIM18*****,21.3,448.0,18.1,No,No,By annual report date,PRNIM18.....
PREMIUM LEVELLA,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,RF-600WI,PRNIM20*****,24.1,469.0,20.4,No,No,By annual report date,PRNIM20.....
JENN-AIR,(3A-BI.) Built-in All-refrigerators - automatic defrost,8W3ABI10-01,JBRF*36IGX**,21.4,360.0,21.4,No,No,https://www.whirlpool.com/services/manuals.html,JBRF.36IGX..
WHIRLPOOL,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,7W5g21-04,WRF532SNH*,27.0,500.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRF532SNH.
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,7w5ij50-18,WRFA35SWH*,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,WRFA35SWH.
