Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Element,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",EWR25BE,EWR25BE,25000.0,2410.0,10.3,No,No,https://elementelectronics.com/energy-guides,EWR25BE
Element,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",EWR18BE,EWR18BE,18000.0,1510.0,11.8,No,No,https://elementelectronics.com/energy-guides,EWR18BE
Element,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EWR12BE,EWR12BE,12000.0,990.0,12.0,No,No,https://elementelectronics.com/energy-guides,EWR12BE
Element,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EWR08BE,EWR08BE,8000.0,650.0,12.0,No,No,https://elementelectronics.com/energy-guides,EWR08BE
Element,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",EWR06BE,EWR06BE,6000.0,490.0,12.1,No,No,https://elementelectronics.com/energy-guides,EWR06BE
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC10-KSB21,ITAC10-KSB21,10000.0,940.0,10.6,No,No,https://impecca.boxcn.net/s/j7xvdx60pmgqu1gs6qggq6fmf083is5m,ITAC10-KSB21
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC10-KSA21,ITAC10-KSA21,10000.0,940.0,10.6,No,No,https://impecca.boxcn.net/s/51s6beodsa4if5372z1grj1ofm8xtaiw,ITAC10-KSA21
Impecca,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",ITAC12-KSB21,ITAC12-KSB21,12000.0,1140.0,10.5,No,No,https://impecca.boxcn.net/s/sys1pwb9mkne1wf5poc82hrenj2mxcyd,ITAC12-KSB21
Impecca,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",IWA10-KS30,IWA10-KS30,10000.0,830.0,12.0,No,No,https://impecca.box.com/s/sa1a3vgol00nnstp2zj4v5gs9rd73fv5,IWA10-KS30
Impecca,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",IWA15-KS30,IWA15-KS30,15100.0,1280.0,11.8,No,No,https://impecca.box.com/s/rlvs8mia6r42dlpp0eoxkz0e7din2iog,IWA15-KS30
Impecca,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",IWA18-KS30,IWA18-KS30,18000.0,1510.0,11.8,No,No,https://impecca.box.com/s/fzy2rq0caft870vztht5wshcafdalbex,IWA18-KS30
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC-10KSB21-2,ITAC-10KSB21-2,10500.0,950.0,10.6,No,No,https://impecca.box.com,ITAC-10KSB21-2
Impecca,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",ITAC-12KSB21-2,ITAC-12KSB21-2,12000.0,1120.0,10.5,No,No,https://impecca.box.com,ITAC-12KSB21-2
Toscana,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",57H-ID0-112CRN8BCK4N,57H-ID0-112CRN8BCK4N,12000.0,1030.0,11.4,No,No,https://icuracao.com/[toscana-window-air-contioner-cooling-only-wifi-included.html],57H-ID0-112CRN8BCK4N
MAGNAVOX,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WW-12ESNMAG,WW-12ESNMAG,12000.0,1030.0,11.4,No,No,https://www.magnavox.com/en/17-air-conditioners,WW-12ESNMAG
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-12WESN,OBZ-12WESN,12000.0,1000.0,12.0,No,No,http://jcwarranty.com/energy.html,OBZ-12WESN
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-12ESN3,OBZ-12ESN3,12000.0,1000.0,12.0,No,No,http://jcwarranty.com/energy.html,OBZ-12ESN3
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-08ESN3,OBZ-08ESN3,8000.0,650.0,12.0,No,No,http://jcwarranty.com/energy.html,OBZ-08ESN3
Sea Breeze+,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WAU38YREX,WAU38YREX,8000.0,690.0,15.0,No,No,https://irpsales.com/?page_id=4651,WAU38YREX
Sea Breeze+,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WAU310YREX,WAU310YREX,12000.0,1120.0,15.0,No,No,https://irpsales.com/?page_id=4651,WAU310YREX
Sea Breeze,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",WA36YREX,WA36YREX,6000.0,490.0,12.1,No,No,https://irpsales.com/?page_id=4651,WA36YREX
Sea Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WA38YREX,WA38YREX,8000.0,650.0,12.0,No,No,https://irpsales.com/?page_id=4651,WA38YREX
Sea Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WA312YREX,WA312YREX,12000.0,990.0,12.0,No,No,https://irpsales.com/?page_id=4651,WA312YREX
Sea Breeze,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",WA315YREX,WA315YREX,15100.0,1280.0,11.8,No,No,https://irpsales.com/?page_id=4651,WA315YREX
Sea Breeze,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",STW410AZEB,STW410AZEB,10000.0,940.0,10.6,No,No,https://irpsales.com/?page_id=4651,STW410AZEB
Breeze33,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",BZ336WAC1,BZ336WAC1,6000.0,490.0,12.1,No,No,https://breeze33.com/air-conditioners/,BZ336WAC1
Breeze33,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",BZ3315WAC1,BZ3315WAC1,15100.0,1280.0,11.8,No,No,https://breeze33.com/air-conditioners/,BZ3315WAC1
Breeze33,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",BZ3325WAC2-G2,BZ3325WAC2-G2,25000.0,2410.0,10.3,No,No,https://breeze33.com/air-conditioners/,BZ3325WAC2-G2
Breeze33,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BZ3310TWAC1,BZ3310TWAC1,10000.0,940.0,10.6,No,No,https://breeze33.com/air-conditioners/,BZ3310TWAC1
Breeze33,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BZ3310TWAC2,BZ3310TWAC2,10000.0,940.0,10.6,No,No,https://breeze33.com/air-conditioners/,BZ3310TWAC2
