Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Midea,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",MWCUPWHP-09HEFN8-BCL1,MWCUPWHP-09HEFN8-BCL1,9000.0,760.0,16.0,No,No,By annual report date,MWCUPWHP-09HEFN8-BCL1
Genie Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GA23-12ERN1-MCI5,GA23-12ERN1-MCI5,12000.0,1180.0,9.5,No,No,By annual report date,GA23-12ERN1-MCI5
Genie Aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",GA23-08CRN1-115,GA23-08CRN1-115,8300.0,760.0,10.6,No,No,By annual report date,GA23-08CRN1-115
Genie Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GA23-12CRN2-230,GA23-12CRN2-230,12000.0,1120.0,10.5,No,No,By annual report date,GA23-12CRN2-230
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8024RD,LW8024RD,8000.0,710.0,11.4,No,No,http://www.lg.com/global/support/ftclabel,LW8024RD
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8023RSMY,LW8023RSMY,8000.0,710.0,11.4,No,No,http://www.lg.com/global/support/ftclabel,LW8023RSMY
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1023RSM,LW1023RSM,10000.0,870.0,11.4,No,No,http://www.lg.com/global/support/ftclabel,LW1023RSM
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1224RD,LW1224RD,12000.0,1030.0,11.4,No,No,http://www.lg.com/global/support/ftclabel,LW1224RD
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1223RSM,LW1223RSM,12000.0,1030.0,11.4,No,No,http://www.lg.com/global/support/ftclabel,LW1223RSM
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1424RD,LW1424RD,14000.0,1250.0,11.2,No,No,http://www.lg.com/global/support/ftclabel,LW1424RD
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1423RSM,LW1423RSM,14000.0,1250.0,11.2,No,No,http://www.lg.com/global/support/ftclabel,LW1423RSM
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1824RD,LW1824RD,18000.0,1580.0,11.8,No,No,http://www.lg.com/global/support/ftclabel,LW1824RD
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1823RSMY,LW1823RSMY,18000.0,1580.0,11.8,No,No,http://www.lg.com/global/support/ftclabel,LW1823RSMY
