Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,individual_model_number_modified
SANSUI,ES32V1HA,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,ES32V1HA
Caixun,LE-32T1,32.0,23.6,0.28,0.41,,52.0,By annual report date,No,LE-32T1
SANSUI,ES40V1FA,40.0,33.4,0.28,0.4,,71.0,By annual report date,No,ES40V1FA
SILO,SL5020VF,50.0,73.0,0.5,1.0,,140.0,http://silotv.net/,No,SL5020VF
PHILIPS,43BFL2214/27,42.5,56.4,0.46,0.79,,109.0,By annual report date,No,43BFL2214/27
RCA,LE-65V1,65.0,101.0,0.31,,,194.0,By annual report date,No,LE-65V1
PG,LE-65V1,65.0,101.0,0.31,,,194.0,By annual report date,No,LE-65V1
ELEMENT,LE-75VA1,75.0,107.0,0.28,,,198.0,By annual report date,No,LE-75VA1
Supersonic,LE-75VA1,75.0,107.0,0.28,,,198.0,By annual report date,No,LE-75VA1
CAIXUN,LE-75VA1,75.0,107.0,0.28,,,198.0,By annual report date,No,LE-75VA1
Samsung,QN65QN90CAF,65.0,83.0,0.5,1.5,,162.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn65qn90cafxza-energylabel.pdf,No,QN65QN90CAF
Samsung,QN65QN85CAF,65.0,82.0,0.5,1.5,,160.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn65qn85cafxza-energylabel.pdf,No,QN65QN85CAF
Samsung,QN55QN85CAF,55.0,67.0,0.5,1.5,,133.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn55qn85cafxza-energylabel.pdf,No,QN55QN85CAF
Samsung,QN43QN90CAF,43.0,55.0,0.5,1.5,,111.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn43qn90cafxza-energylabel.pdf,No,QN43QN90CAF
Samsung,QN85QN95CAF,85.0,119.0,0.5,1.5,,228.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn85qn95cafxza-energylabel.pdf,No,QN85QN95CAF
Samsung,QN85QN90CAF,85.0,118.0,0.5,1.5,,226.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qqn85qn90cafxza-energylabel.pdf,No,QN85QN90CAF
SILO,SL5520VF,54.64,81.8,0.21,,,151.0,http://worldcdn.ktcupdate.com/energy+labels-silo/SL5520VF.pdf,No,SL5520VF
IMPECCA,TL4002NS,39.5,35.7,0.25,0.4,,68.0,By annual report date,No,TL4002NS
Caixun,LE-24T1,23.71,18.3,0.28,,,35.5,By annual report date,No,LE-24T1
