Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,individual_model_number_modified
Hisense,75U78H,75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No,75U78H
Hisense,75U7H+(+=0-9 or A-Z or Blank),75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No,75U7H.
Hisense,75U7+H+(+=0-9 or A-Z or Blank),75.0,178.0,0.3,0.4,,327.0,https://www.hisense-usa.com/support/models,No,75U7.H.
Hisense,85A6+H++(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A6.H..
Hisense,85A7G+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A7G.
Hisense,85A7+H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A7.H.
Hisense,85A7H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A7H.
Hisense,85A6+H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A6.H.
Hisense,85A6H+(+=0-9 or A-Z or Blank),85.0,241.0,0.3,0.3,,441.0,https://www.hisense-usa.com/support/models,No,85A6H.
Pioneer,PN43651-23U,42.5,65.5,0.49,0.6,,124.0,https://www.usca.pioneer-tv.com/,No,PN43651-23U
Pioneer,PN43651-23C,42.5,65.5,0.49,0.6,,124.0,https://www.usca.pioneer-tv.com/,No,PN43651-23C
Hisense,50U6G1,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U6G1
Hisense,50U65H,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U65H
Hisense,50U68H,50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U68H
Hisense,"50U6+G+(+can be replaced by any number 0-9, A-Z or Blank)",50.0,63.0,0.36,0.47,,118.0,https://www.hisense-usa.com/support/models,No,50U6.G.
Onn.,100012589-CA,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No,100012589-CA
Onn.,100012589,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No,100012589
RCA,RHOR325,31.4,19.9,0.25,,,48.0,https://www.elementelectronics.com/support/,No,RHOR325
connexx,CX22A19DCDVD,21.5,16.8,0.33,,,32.9,http://www.riverparkinc.com,No,CX22A19DCDVD
VIZIO,D40fM-K09,39.5,36.3,0.34,0.36,,68.7,By annual report date,No,D40fM-K09
SANYO,FW50D48F,49.5,52.0,0.2,,,120.0,https://www.sanyo-av.com/us/product/product.php?id=728,No,FW50D48F
onn.,100058007,39.5,38.3,0.45,,,73.0,https://www.onntvsupport.com/energy-guides/,No,100058007
Hisense,"43A5+H+(+can be replaced by any number 0-9,A-Z,blank or - )",43.0,41.5,0.24,0.37,,78.3,https://www.hisense-usa.com/support/models,No,43A5.H.
Hisense,"43A5+G+(+can be replaced by any number 0-9,A-Z,blank or - )",43.0,41.5,0.24,0.37,,78.3,https://www.hisense-usa.com/support/models,No,43A5.G.
HITACHI,50C61,50.0,96.0,0.45,,,178.0,https://www.hitachi-america.us,No,50C61
HITACHI,40C311,40.0,53.0,0.3,,,98.8,https://www.hitachi-america.us,No,40C311
ONN,100012590-CA,24.0,25.0,0.45,0.45,,48.7,http://www.onntvsupport.com/energy-guides,No,100012590-CA
Hisense,"65R60+0G+(+can be replaced by any number 0-9, A-Z, blank or - )",65.0,95.1,0.39,0.4,,176.0,https://www.hisense-usa.com/support/models,No,65R60.0G.
