ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Application,Display Type,Backlight Technology Type,Diagonal Viewable Screen Size (in.),Screen Area (sq. in.),Native Horizontal Resolution (pixels),Native Vertical Resolution (pixels),Resolution Format,High Contrast Ratio (HCR) Display,Physical Data Ports Available,Ethernet Supported,Low Power Wireless Technologies Supported,Features,Automatic Brightness Control,Is Automatic Brightness Control Enabled by Default in the Default SDR Preset Picture Setting When Television is Shipped?,Average On Mode Power Consumption for Certification (watts),Maximum Average On Mode Power for Certification (watts),Reported On Mode Power (per the Federal Test Procedure) (watts),Reported Annual Energy Consumption (kWh),Power Consumption in Standby Mode when Not Connected to a Network (watts),Power Consumption in Standby Mode when Connected to a Network (watts),"Reported Standby-Active, Low Mode Power (watts)",Date Available On Market,Date Certified,Markets,CB Model Identifier
2405713,"Top Victory Electronics (Taiwan) Co., Ltd.",PHILIPS,50HFL4518U/27,50HFL4518U/27,,871886300399,Television (TV),Consumer,LCD,Direct-lit LED,49.5,1047,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),HDMI","Gigabit Ethernet (1000 Mbit/s),Gigabit Energy Efficient Ethernet (IEEE 802.3az)",None,"High Dynamic Range Upscaling,Full Network Connectivity (Smart TV)",No,N/A,66.9,71.41,66.9,114.15,0.35,0.47,0.47,11/15/2021,11/21/2022,United States,ES_1065104_50HFL4518U/27_11212022142452I59_7349927
2405721,"Top Victory Electronics (Taiwan) Co., Ltd.",PHILIPS,55HFL4518U/27,55HFL4518U/27,,871886300405,Television (TV),Consumer,LCD,Direct-lit LED,54.6,1275.7,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),HDMI","Gigabit Ethernet (1000 Mbit/s),Gigabit Energy Efficient Ethernet (IEEE 802.3az)",None,"High Dynamic Range Upscaling,Full Network Connectivity (Smart TV)",No,N/A,93.2,94.11,93.2,150.27,0.4,0.51,0.51,11/18/2022,11/23/2022,United States,ES_1065104_55HFL4518U/27_1123202292455I14_7349927
2401931,"Top Victory Electronics (Taiwan) Co., Ltd.",PHILIPS,55HFL5214U/27,55HFL5214U/27,"55BFL2214/27,55BFL2214/27,",871886300214;871886300276,Television (TV),Consumer,LCD,Direct-lit LED,54.5,1275.7,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),HDMI",Gigabit Ethernet (1000 Mbit/s),None,None,No,N/A,83.23,93.08,90.8,129.76,0.4,0.79,0.79,12/20/2021,09/19/2022,United States,ES_1065104_55HFL5214U/27_09192022122420I33_7349927
2404180,"Top Victory Electronics (Taiwan) Co., Ltd.",PHILIPS,65HFL5214U/27,65HFL5214U/27,",65BFL2214/27,65BFL2214/27",871886300221;871886300283,Television (TV),Consumer,LCD,Direct-lit LED,64.5,1779.1,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),HDMI",Gigabit Ethernet (1000 Mbit/s),None,None,No,N/A,126.8,129.13,126.8,159.42,0.43,0.83,0.83,12/21/2021,10/20/2022,United States,ES_1065104_65HFL5214U/27_1020202214246I20_7349927
2407358,Xitrix Computer Corporation,XITRIX,XPN-DSA3250,XPN-DSA3250,,,Television (TV),Consumer,LCD,Direct-lit LED,32,424.18,768,1366,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,34.4,42.8,34.4,64.37,0.22,0.22,0.22,01/05/2023,01/26/2023,"United States, Canada",ES_1058575_XPN-DSA3250_01162023112847_6901971
2407357,Xitrix Computer Corporation,XITRIX,XPN-DSA5850,XPN-DSA5850,,,Television (TV),Consumer,LCD,Direct-lit LED,58,1420,2160,3840,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,100.9,174.89,100.9,186.15,0.29,0.29,0.29,01/05/2023,01/26/2023,"United States, Canada",ES_1058575_XPN-DSA5850_01162023110645_9811822
2407456,Xitrix Computer Corporation,XITRIX,XPN-DSA6550,XPN-DSA6550,,,Television (TV),Consumer,LCD,Direct-lit LED,65,1825.74,2160,3840,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,102.78,214.2,102.78,189.72,0.31,0.31,0.31,01/05/2023,01/20/2023,"United States, Canada",ES_1058575_XPN-DSA6550_01162023100212_5299493
2452883,Xitrix Computer Corporation,XITRIX,XPN-DSA8650,XPN-DSA8650,,,Television (TV),Consumer,LCD,Direct-lit LED,85.6,3137.35,3840,2160,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,166.52,234.75,166.52,306.05,0.31,0.31,0,03/14/2023,03/30/2023,"United States, Canada",ES_1058575_XPN-DSA8650_03272023164619_7699701
2402123,Curtis International Ltd.,RCA,65D1,65D1,",65N1,; ,RTAU6504,; ,RTAU6540.,; ,RTRU6527,; ,RWOSU6547,; ,RWOSU6547-A,; ,RWOSU6548,; ,WR65UC4210,; ,WR65UE4210,; ,WR65UT4210,; ,WR65UT4212,; ,WR65UX4210,; ,WR65UX4210V,; ,WR65UX4212,",,Television (TV),Consumer,LCD,Direct-lit LED,64.5,1798.5,2160,3840,Other,No,"Universal Serial Bus (USB),Other,HDMI",None,None,None,No,N/A,117.69,147.81,117.69,216.87,0.3,0.3,0.3,10/20/2022,09/29/2022,"United States, Canada",ES_1120898_65D1_09282022113050_6627618
2453010,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LED TV,ES32V1HA,"LED TV,ES32T1H,; LED TV,ES32T1HA,; LED TV,ES32T1HN,; LED TV,ES32T2H,; LED TV,ES32T2HA,; LED TV,ES32T2HN,; LED TV,ES32T3H,; LED TV,ES32T3HA,; LED TV,ES32T3HN,; LED TV,ES32V1HN,; LED TV,ES32V2HA,; LED TV,ES32V2HN,; LED TV,ES32V3HA,; LED TV,ES32V3HN,; LED TV,S32T1H,; LED TV,S32T1HA,; LED TV,S32T1HN,; LED TV,S32T2H,; LED TV,S32T2HA,; LED TV,S32T2HN,; LED TV,S32T3H,; LED TV,S32T3HA,; LED TV,S32T3HN,; LED TV,S32V1HA,; LED TV,S32V1HN,; LED TV,S32V2HA,; LED TV,S32V2HN,; LED TV,S32V3HA,; LED TV,S32V3HN,",,Television (TV),Consumer,LCD,Direct-lit LED,32,424.19,1366,768,Standard Definition (SD),No,"Universal Serial Bus (USB),Other,HDMI",Fast Ethernet (100 Mbit/s),Other,"Wake-On-Cast Compatibility,Full Network Connectivity (Smart TV),Control Via Remote Control App,User Adjustable Backlight",No,N/A,29.81,40.07,24,47,0.28,0.41,0.5,01/31/2023,03/31/2023,United States,ES_25251_ES32V1HA_04052023085937_2886508
2453008,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LED TV,ES40V1FA,"LED TV,ES40V2FA,; LED TV,ES40V3FA,; LED TV,S40V1FA,; LED TV,S40V2FA,; LED TV,S40V3FA,",,Television (TV),Consumer,LCD,Direct-lit LED,40,660.6,1920,1080,High Definition (HD),No,"Universal Serial Bus (USB),Other,HDMI",Fast Ethernet (100 Mbit/s),Other,"Wake-On-Cast Compatibility,Full Network Connectivity (Smart TV),Control Via Remote Control App,User Adjustable Backlight",No,N/A,40.24,59.37,34,64.82,0.37,0.4,0.5,01/31/2023,03/31/2023,United States,ES_25251_ES40V1FA_04042023085212_5327409
2403227,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-24T1,LE-24T1,",EC24T1H,; ,EC24T1HA,; ,EC24T1HN,; ,EC24T2H,; ,EC24T2HA,; ,EC24T2HN,; ,EC24T3H,; ,EC24T3HA,; ,EC24T3HN,; ,ES24T1H,; ,ES24T1HA,; ,ES24T1HN,; ,ES24T2H,; ,ES24T2HA,; ,ES24T2HN,; ,ES24T3H,; ,ES24T3HA,; ,ES24T3HN,; ,LE-24***,; ,LE-24T2,; ,LE-24T3,; ,LE-24V1,; ,LE-24V2,; ,LE-24V3,; ,NT-2406,; ,SC-2416STV,; ,TL2402H,",,Television (TV),Consumer,LCD,Direct-lit LED,23.53,236.69,768,1366,Other,No,Universal Serial Bus (USB),None,None,None,No,N/A,23.65,51.91,23.65,45.2,0.29,0.29,0.29,09/26/2022,10/18/2022,"United States, Canada",ES_25251_LE-24T1_09262022155900_3996240
