ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2374994,GE,GTW490BMR***,,757638370103,Top Load,,Gentle Cycle,Residential,4.1,,26.8,,2.06,1.29,156,4.3,8.4,5252,,,,,,,,,No,,,,No,,02/22/2021,02/22/2021,Canada,ES_92277_GTW490BMR***_031820210717386_1699983,No
2331678,GE,GTW500A*N***,",GTW500ASNWS,Color: White / Silver",084691845638,Top Load,,"Gentle Cycle,Delayed Start",Residential,4.6,,27.0,,2.06,1.29,175,4.3,8.4,5860,,,,,,,,,No,,,,,,12/17/2018,12/05/2018,"United States, Canada",ES_1123206_GTW500A*N***_12052018194545_9145154,No
2370952,GE,GTW500A*N***,",GTW500ASNWS,",084691845638,Top Load,,Gentle Cycle,Residential,4.6,,27.0,,2.06,1.29,175,4.3,8.4,5860,,,,,,,,,No,,,,,,04/19/2021,12/16/2020,"United States, Canada",ES_1123206_GTW500A*N***_121520200855585_6243535,No
2370953,GE,GTW540A*P***,",GTW540ASPWS,",084691870944,Top Load,,"Sanitize Option,Gentle Cycle",Residential,4.6,,27,,2.06,1.29,175,4.3,8.4,5860,,,,,,,,,No,,,,,,12/22/2020,12/16/2020,"United States, Canada",ES_1123206_GTW540A*P***_12152020085595_7471356,No
2375000,GE,GTW550BMR***,,757638370127,Top Load,,Gentle Cycle,Residential,4.3,,26.8,,2.08,1.29,164,3.7,8.4,4683,,,,,,,,,No,,,,No,,02/22/2021,02/22/2021,Canada,ES_92277_GTW550BMR***_031820210717165_7444530,No
2333287,GE,GTW560BM***,,757638359092,Top Load,,"Gentle Cycle, Cold Wash, Active Wear, Speed Wash, Casuals, Dark Colors, Bulky Items, Whites, Heavy Duty",Residential,4.3,,26.9,,2.2,1.29,137,3.7,8.4,4726,,,,,,,,,No,,,,No,,01/02/2019,02/11/2019,Canada,ES_1123206_GTW560BM***_02112019161938_1978986,No
2333288,GE,GTW575BM***,,757638359108,Top Load,,"Gentle Cycle, Cold Wash, Active Wear, Speed Wash, Casuals, Dark Colors, Bulky Items, Whites, Heavy Duty",Residential,4.3,,26.9,,2.2,1.29,137,3.7,8.4,4726,,,,,,,,,No,,,,No,,01/02/2019,02/11/2019,Canada,ES_1123206_GTW575BM***_02112019161952_1992693,No
2375001,GE,GTW580BMR***,,757638370134,Top Load,,Gentle Cycle,Residential,4.3,,26.8,,2.08,1.29,164,3.7,8.4,4683,,,,,,,,,No,,,,No,,02/22/2021,02/22/2021,Canada,ES_92277_GTW580BMR***_031820210717593_7425977,No
2306362,GE,GTW680BMM**,,757638970372,Top Load,,"Gentle Cycle,Other",Residential,4.6,,26.9,,2.16,1.29,165,3.4,8.4,4624,,,,,,,,,No,,,,No,,01/15/2018,11/13/2017,Canada,ES_1123206_GTW680BMM**_11132017183220_7940632,No
2306363,GE,GTW680BMM**,,757638973697,Top Load,,"Gentle Cycle,Other",Residential,4.6,,26.9,,2.16,1.29,165,3.4,8.4,4624,,,,,,,,,No,,,,No,,01/15/2018,11/13/2017,Canada,ES_1123206_GTW680BMM**_11132017183256_7976844,No
2375002,GE,GTW680BMR***,,757638370141,Top Load,,Gentle Cycle,Residential,4.6,,26.8,,2.16,1.29,165,3.4,8.4,4614,,,,,,,,,No,,,,No,,02/22/2021,02/22/2021,Canada,ES_92277_GTW680BMR***_031820210717868_9464251,No
2310720,GE,GTW685B*L***,",GTW685BPLDG,Color - Diamond Gray, UPC - 084691825739; ,GTW685BSLWS,Color - White / Silver, UPC - 084691825609",84691825609,Top Load,,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.5,,27.0,,2.06,1.29,150,4.3,8.4,5683,,,,,,,,,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",05/03/2017,02/12/2018,United States,ES_1123206_GTW685B*L***_05082017184751_9271148,No
2375003,GE,GTW685BMR***,,757638370381,Top Load,,Gentle Cycle,Residential,4.4,,26.8,,2.09,1.29,156,3.8,8.4,4955,,,,,,,,,No,,,,No,,02/22/2021,02/22/2021,Canada,ES_92277_GTW685BMR***_031820210717787_4075197,No
2396762,GE,GTW690BM***,,757638373029,Top Load,,Delayed Start,Residential,4.6,,26.8,,2.06,1.29,165,3.9,8.4,5292,,,,,,,,,No,,,,No,,05/20/2022,05/23/2022,Canada,ES_92277_GTW690BM***_051620221559241_4512241,No
2340782,GE,GTW720B*N***,",,Color: White / Silver; ,GTW720BPNDG,Color: Diamond Gray; ,GTW720BSNWS,Color: White / Silver",084691842910; 084691842965,Top Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.8,,27.0,,2.06,1.29,165,4.3,8.4,6076,,,,,,,,,No,,,,Yes,"ES_1123206_GTD72EB*N***_06132019151328_8808992, ES_1123206_GTD72GB*N***_06132019153207_9927091, ES_1123206_GTD72EB*N***_06132019151546_8946196, ES_1123206_GTD72GB*N***_06132019153129_9889156",07/08/2019,07/03/2019,"United States, Canada",ES_1123206_GTW720B*N***_07032019154626_8786582,No
