ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2331678,GE,GTW500A*N***,",GTW500ASNWS,Color: White / Silver",084691845638,Top Load,,"Gentle Cycle,Delayed Start",Residential,4.6,,27.0,,2.06,1.29,175,4.3,8.4,5860,,,,,,,,,No,,,,,,12/17/2018,12/05/2018,"United States, Canada",ES_1123206_GTW500A*N***_12052018194545_9145154,No,GTW500A.N...
2370952,GE,GTW500A*N***,",GTW500ASNWS,",084691845638,Top Load,,Gentle Cycle,Residential,4.6,,27.0,,2.06,1.29,175,4.3,8.4,5860,,,,,,,,,No,,,,,,04/19/2021,12/16/2020,"United States, Canada",ES_1123206_GTW500A*N***_121520200855585_6243535,No,GTW500A.N...
2370953,GE,GTW540A*P***,",GTW540ASPWS,",084691870944,Top Load,,"Sanitize Option,Gentle Cycle",Residential,4.6,,27.0,,2.06,1.29,175,4.3,8.4,5860,,,,,,,,,No,,,,,,12/22/2020,12/16/2020,"United States, Canada",ES_1123206_GTW540A*P***_12152020085595_7471356,No,GTW540A.P...
2310720,GE,GTW685B*L***,",GTW685BPLDG,Color - Diamond Gray, UPC - 084691825739; ,GTW685BSLWS,Color - White / Silver, UPC - 084691825609",84691825609,Top Load,,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.5,,27.0,,2.06,1.29,150,4.3,8.4,5683,,,,,,,,,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",05/03/2017,02/12/2018,United States,ES_1123206_GTW685B*L***_05082017184751_9271148,No,GTW685B.L...
2340782,GE,GTW720B*N***,",,Color: White / Silver; ,GTW720BPNDG,Color: Diamond Gray; ,GTW720BSNWS,Color: White / Silver",084691842910; 084691842965,Top Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.8,,27.0,,2.06,1.29,165,4.3,8.4,6076,,,,,,,,,No,,,,Yes,"ES_1123206_GTD72EB*N***_06132019151328_8808992, ES_1123206_GTD72GB*N***_06132019153207_9927091, ES_1123206_GTD72EB*N***_06132019151546_8946196, ES_1123206_GTD72GB*N***_06132019153129_9889156",07/08/2019,07/03/2019,"United States, Canada",ES_1123206_GTW720B*N***_07032019154626_8786582,No,GTW720B.N...
2340281,GE,GTW725B*N***,",,Color: White / Silver; ,GTW725BPNDG,Color: Diamond Gray; ,GTW725BSNWS,Color: White / Silver",084691842958,Top Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.6,,27.0,,2.06,1.29,158,4.3,8.4,5886,,,,,,,,,No,,,,Yes," ES_1123206_GTD72GB*N***_06132019153207_9927091,ES_1123206_GTD72EB*N***_06132019151546_8946196, ES_1123206_GTD72EB*N***_06132019151328_8808992, ES_1123206_GTD72GB*N***_06132019153129_9889156",07/08/2019,06/25/2019,"United States, Canada",ES_1123206_GTW725B*N***_06252019162159_9719000,No,GTW725B.N...
2341109,GE,GTW840C*N***,",,Color: White / Silver; ,GTW840CPNDG,Color: Diamond Gray; ,GTW840CSNWS,Color: White / Silver",084691842934,Top Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,5.2,,27.0,,2.06,1.29,175,4.3,8.4,6558,,,,,,,,,No,,,,Yes," ES_1123206_GTD84GC*N***_07162019135324_5204393, ES_1123206_GTD84GC*N***_07162019135307_5187089, ES_1123206_GTD84EC*N***_07162019133524_4124833,ES_1123206_GTD84EC*N***_07162019133510_4110411",07/22/2019,07/12/2019,"United States, Canada",ES_1123206_GTW840C*N***_07122019153001_5401808,No,GTW840C.N...
2342279,GE,GTW845C*N***,",GTW845CPNDG,Color: Diamond Gray; UPC 084691842972; ,GTW845CSNWS,Color: White / Silver; UPC 084691842989",,Top Load,,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,5.0,,27.0,,2.06,1.29,192,4.3,8.4,6368,,,,,,,,,No,,,,Yes," ES_1123206_GTD84EC*N***_07162019133524_4124833, ES_1123206_GTD84GC*N***_07162019135324_5204393, ES_1123206_GTD84GC*N***_07162019135307_5187089,ES_1123206_GTD84EC*N***_07162019133510_4110411",08/05/2019,07/31/2019,"United States, Canada",ES_1123206_GTW845C*N***_07312019132316_9396106,No,GTW845C.N...
2331684,GE,GUD27EE*N***,",GUD27EESNWW,Color: White",084691844198,Top Load,,Gentle Cycle,Residential,3.9,,26.8,,2.06,1.29,140,4.3,8.4,4947,,,,,,,,,No,,,,,,12/10/2018,11/30/2018,United States,ES_1123206_GUD27EE*N***_12032018150843_9723388,No,GUD27EE.N...
2331685,GE,GUD27EE*N***,",GUD27EEMNWW,Color: White",757638359115,Top Load,,Gentle Cycle,Residential,3.9,,26.8,,2.06,1.29,140,4.3,8.4,4947,,,,,,,,,No,,,,,,12/10/2018,11/30/2018,Canada,ES_1123206_GUD27EE*N***_12172018162946_4186828,No,GUD27EE.N...
