ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Width (inches),Depth (inches),Capacity - Maximum Number of Place Settings,Soil-Sensing Capability,Tub Material,Drying Method,Additional Product Features,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2303095,Bosch,SHPM78W54N,",SHPM78W54N,Model has a different color paint.",825225947004,Standard,,,,,,,,269,307.0,12.0,2.9,5.0,42.0,No,,,,,11/09/2016,10/26/2016,"United States, Canada",ES_31649_SHPM78W54N_08302017154816_7059442,No,SHPM78W54N
2341466,Bosch,SHSM4AZ55N,",SHSM4AZ55N,1st*-Year mfg, 2nd*-Version, 3rd*-Color",825225961208,Standard,,,,,,,,269,307.0,12.0,3.2,5.0,36.0,No,,,,,08/09/2019,08/11/2016,"United States, Canada",ES_31649_SHSM4AZ55N_07152019165003_3689386,No,SHSM4AZ55N
2399308,Bosch,SHV78B73UC,,825225968290,Standard,,,,,,,,269,307.0,12.0,3.5,5.0,30.0,Yes,,,,,05/27/2022,12/10/2020,"United States, Canada",ES_31649_SHV78B73UC_06232022103648_4374353,No,SHV78B73UC
2248710,Bosch,SHX3AR5*UC,,825225898702;825225898719;825225898924,Standard,,,,,,,,269,307.0,12.0,3.2,5.0,36.0,No,,,,,04/15/2011,12/31/2014,"United States, Canada",ES_31649_SHX3AR5*UC_12302014160021_15794,No,SHX3AR5.UC
2399309,Bosch,SHX78B75UC,,825225968573,Standard,,,,,,,,269,307.0,12.0,3.5,5.0,30.0,Yes,,,,,05/27/2022,12/10/2020,"United States, Canada",ES_31649_SHX78B75UC_06232022103649_2384455,No,SHX78B75UC
2378494,Almison,ASDW12F**A5A,,,Standard,,,,,,,,270,307.0,12.0,3.5,5.0,30.0,No,,,,,04/20/2021,05/27/2021,"United States, Canada",ES_1108549_ASDW12F**A5A_052720210252802_6552874,No,ASDW12F..A5A
2378495,Almison,ASDW12T**A5A,,,Standard,,,,,,,,270,307.0,12.0,3.5,5.0,30.0,No,,,,,04/20/2021,05/27/2021,"United States, Canada",ES_1108549_ASDW12T**A5A_052720210252478_3501887,No,ASDW12T..A5A
2300537,Asko,DBI663*,,,Standard,,,,,,,,235,307.0,23.0,3.2,5.0,36.0,No,,,,,08/01/2017,07/19/2017,"United States, Canada",ES_0031672_DBI663*_07252017033545_70137149,Yes,DBI663.
2300539,Asko,DBI664*,,,Standard,,,,,,,,235,307.0,23.0,3.2,5.0,36.0,No,,,,,08/01/2017,07/19/2017,"United States, Canada",ES_0031672_DBI664*_07252017033545_70137149,Yes,DBI664.
2300541,Asko,DBI675*,,,Standard,,,,,,,,235,307.0,23.0,3.2,5.0,36.0,No,,,,,08/01/2017,07/19/2017,"United States, Canada",ES_0031672_DBI675*_07252017033545_70137149,Yes,DBI675.
