ENERGY STAR Unique ID,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Fuel Type,Special Type,Heat Pump Technology,Voltage (V),Drum Capacity (cu-ft),Height (inches),Width (inches),Depth (inches),Combined Energy Factor (CEF),Estimated Annual Energy Use (kWh/yr),Estimated Energy Test Cycle Time (min),Energy Test Cycle Information,Additional Dryer Features,Vented or Ventless,Refrigerant Type,Refrigerant with GWP,Connected,Connects Using,Communication Standard - Application Layer,Direct on-premises Open-standard Based Interconnection,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh),Paired ENERGY STAR Clothes Washer Available,Paired ENERGY STAR Clothes Washer ENERGY STAR Model Identifier,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2452828,ELEMENT,EFD4424EBW,EFD4424EBW,,810649030913,Electric Standard Ventless,Electric,,,,4.5,33.27,23.43,25.2,3.93,608,75,normal,None,Ventless,,,No,,,,,,,02/07/2023,03/29/2023,United States,ES_1145034_EFD4424EBW_032920230644757_3907651,No
2452830,ELEMENT,EFD8027EBW,EFD8027EBW,,810649030883,Electric Standard Vented,Electric,,,,8,46.7,36.9,29.6,3.93,608,60,normal,None,Vented,,,No,,,,,,,02/07/2023,03/29/2023,United States,ES_1145034_EFD8027EBW_032920230642933_8138257,No
2452829,ELEMENT,EFD8027GBW,EFD8027GBW,,810649030890,Gas Standard Vented,Gas,,,,8,39.75,27,34.5,3.48,687,73,normal,None,Vented,,,No,,,,,,,02/07/2023,03/29/2023,United States,ES_1145034_EFD8027GBW_032920230644511_7896375,No
2399454,ELEMENT,ETD7527EBW,ETD7527EBW,,810649032474,Electric Standard Vented,Electric,,,,7.5,49.5,29.8,34.4,3.93,608,61,Normal,None,Vented,,,No,,,,,,,06/14/2022,07/28/2022,United States,ES_1145034_ETD7527EBW_080220220725582_1964374,No
2399453,ELEMENT,ETD7527GBW,ETD7527GBW,,810649032481,Gas Standard Vented,Gas,,,,7.5,45,27,31.5,3.48,687,74,Normal,None,Vented,,,No,,,,,,,06/14/2022,07/28/2022,United States,ES_1145034_ETD7527GBW_080220220726876_5229551,No
2406485,Equator Advanced Appliances,CD 4040 B,CD 4040 B,,747037140339,Electric Compact Ventless 240V,Electric,,,240,4,33.27,23.46,23.97,2.68,317,34,"Normal, Regular Dryness, High Temperature","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Ventless,,,No,,,,,Yes,ES_Equator Appliances_CW 2240 B_121420221552655_2827439,03/01/2023,01/04/2023,"United States, Canada",ES_40188_CD 4040 B_121420221622395_2181150,No
2406484,Equator Advanced Appliances,CD 4040 W,CD 4040 W,,747037140117,Electric Compact Ventless 240V,Electric,,,240,4,33.27,23.46,23.97,2.68,317,34,"Normal, Regular Dryness, High Temperature","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Ventless,,,No,,,,,Yes,ES_Equator Appliances_CW 2240 W_121420221552744_6961679,03/01/2023,01/02/2023,"United States, Canada",ES_40188_CD 4040 W_121420221622708_9727238,No
2394616,FINLUX,DR4400WSB,DR4400WSB,,8698902064309,Electric Compact Ventless 240V,Electric,,,240,4,33.27,23.46,23.97,2.68,317,34,"Normal, Regular Dryness, High Temperature","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Ventless,,,No,,,,,Yes,ES_1142648_WM3220WSB_022220221407641_6680302,03/01/2022,04/12/2022,Canada,ES_1142648_DR4400WSB_030920221337478_1579396,No
2394910,FINLUX,DR4405WCH,DR4405WCH,,8698902064316,Electric Compact Ventless 240V,Electric,,,240,4,33.27,23.46,23.97,2.68,317,34,"Normal, Regular Dryness, High Temperature","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Ventless,,,No,,,,,Yes,"ES_1142648_WM3225DICH_022220221407657_7939905,ES_1142648_WM3225WCH_02222022140745_8173262",03/01/2022,04/12/2022,Canada,ES_1142648_DR4405WCH_030920221337128_3199057,No
2394618,FINLUX,DR4408SCH,DR4408SCH,,8698902064323,Electric Compact Ventless 240V,Electric,,,240,4,33.27,23.46,23.97,2.68,317,34,"Normal, Regular Dryness, High Temperature","Sanitization cycle,Filter cleaning indicator,Drum light,Time remaining display,Wrinkle prevention option,Energy monitor/indicator",Ventless,,,No,,,,,Yes,ES_1142648_WM3220WSB_022220221407641_6680302,03/01/2022,04/12/2022,Canada,ES_1142648_DR4408SCH_030920221337825_4015285,No
2394617,FINLUX,DR4409DSCH,DR4409DSCH,,8698902064477,Electric Compact Ventless 240V,Electric,,,240,4,33.27,23.46,23.97,2.68,317,34,"Normal, Regular Dryness, High Temperature","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Ventless,,,No,,,,,Yes,ES_1142648_WM3228SCH_022220221407348_1828599,03/01/2022,04/12/2022,Canada,ES_1142648_DR4409DSCH_031420221507222_7090010,No
2370241,Fisher&Paykel,DE4024P2,DE4024P2,,822849962433,Electric Compact Ventless 240V,Electric,,,240,4.1,33.46,23.62,25.39,2.68,317,29,COTTON,Wrinkle prevention option,Ventless,,,No,,,,,,,10/22/2020,11/25/2020,"United States, Canada",ES_31708_DE4024P2_11252020073759_9879192,No
2361429,Frigidaire,FDEX21E4EW,FDEX21E4EW,,012505388309;12505388309,Electric Standard Vented,Electric,,,,8,38,27.13,31.25,3.93,608,50,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Filter cleaning indicator,Other,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Vented,,,No,,,,,No,,06/15/2020,06/08/2020,United States,ES_1021080_FDEX21E4EW_06082020171542_6542906,No
2393837,Frigidaire,FDEX22E4EW,FDEX22E4EW,,12505388644,Electric Standard Vented,Electric,,,,8,38,27.13,31.25,3.93,608,67,"Normal, Normal Temp, Normal Dry","Filter cleaning indicator,Other,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1021080_FWFX22D4EW_02242022115137_80116962,03/11/2022,03/17/2022,United States,ES_1021080_ELFE7337***_030820222037470_3587891,No
2361430,Frigidaire,FDGX21E4EW,FDGX21E4EW,,012505388316;12505388316,Gas Standard Vented,Gas,,,,8,38,27.13,31.25,3.48,687,55,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Filter cleaning indicator,Other,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Vented,,,No,,,,,No,,06/15/2020,06/08/2020,United States,ES_1021080_FDGX21E4EW_06082020233059_9059173,No
2393838,Frigidaire,FDGX22E4EW,FDGX22E4EW,,12505388651,Gas Standard Vented,Gas,,,,8,38,27.13,31.25,3.48,687,54,"Normal, Normal Temp, Normal Dry, Eco","Filter cleaning indicator,Other,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1021080_FWFX22D4EW_02242022115137_80116962,03/11/2022,03/17/2022,United States,ES_1021080_ELFG7337***_030820222037197_2845625,No
2361158,Gaggenau,WT262700,WT262700,,825225952343,Electric Compact Ventless 240V,Electric,,,240,4,34,23.6,25,2.68,317,32,"Cotton, Dryness level set to ""dry""","Sanitization cycle,Drum light,Wrinkle prevention option",Ventless,,,Yes,Wi-Fi,Other,,,Yes,ES_31649_WM262700_01222018131920_8149072,09/01/2019,06/02/2020,"United States, Canada",ES_31649_WT262700_06022020084344_17511,No
2382711,Galanz,GLHD38WEA5A,GLHD38WEA5A,,,Electric Compact Ventless 240V,Electric,,,240,3.8,23.4,24.8,33.5,2.68,317,79,Normal,None,Ventless,,,No,,,,,,,06/30/2021,07/29/2021,"United States, Canada",ES_1108549_GLHD38WEA5A_072820210218933_7096052,No
2382712,Galanz,GLHD38WEA5C,GLHD38WEA5C,,,Electric Compact Ventless 240V,Electric,,,240,3.8,23.4,24.8,33.5,2.68,317,79,Normal,None,Ventless,,,No,,,,,,,06/30/2021,07/29/2021,"United States, Canada",ES_1108549_GLHD38WEA5C_072820210218727_2464514,No
2332281,GE,H43E_3_N,GFD14ES*N***,"GFD14ESSN0WW,GFD14ESSNWW,",084691841890,Electric Compact Vented 240V,Electric,,,240,4.3,33.25,23.44,25.25,3.45,246,63,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,,,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,01/09/2019,01/07/2019,United States,ES_1123206_GFD14ES*N***_01072019202927_2967476,No
2332282,GE,H43E_3_N,GFD14JS*N***,"GFD14ESSN0WW,GFD14JSINWW,",084691846147,Electric Compact Vented 240V,Electric,,,240,4.3,33.25,23.44,25.25,3.45,246,63,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,,,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,01/09/2019,01/07/2019,Canada,ES_1123206_GFD14JS*N***_01072019203018_3018378,No
2307923,GE,GFD40ESM****,GFD40ESM****,"GFD40ESM****,GFD40ESMM0WW,",757638973694,Electric Standard Vented,Electric,,,,7,39.38,27,32.19,3.93,608,60,"COTTONS CYCLE, TEMPERATURE SETTING EXTRA LOW, DRYNESS SETTING OF DRY, EDRY.",Time remaining display,Vented,,,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD40ESM****_12152017151458_0898758,No
2309268,GE,M70G_4_M,GFD40GSCM***,"M70G_4_M,GFD40GSCMWW,",084691827474,Gas Standard Vented,Gas,,,,7,39.38,27,32.19,3.48,687,67,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF EXTRA LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,,,No,,,,,,,01/22/2018,01/17/2018,United States,ES_1123206_GFD40GSCM***_01172018132644_5604366,No
2307926,GE,GFD40GSM****,GFD40GSM****,"GFD40GSM****,GFD40GSMM0WW,",757638973700,Gas Standard Vented,Gas,,,,7,39.38,27,32.19,3.48,687,65,"COTTONS CYCLE, TEMPERATURE SETTING EXTRA LOW, DRYNESS SETTING OF DRY, EDRY.",Time remaining display,Vented,,,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD40GSM****_12152017151730_1050704,No
2307916,GE,GFD45ESM****,GFD45ESM****,",GFD45ESMM0DG,; ,GFD45ESMM0WW,",757638973717,Electric Standard Vented,Electric,,,,7.5,39.38,27,33,3.93,608,58,"COTTONS CYCLE, TEMPERATURE SETTING LOW, DRYNESS SETTING OF DRY.",Time remaining display,Vented,,,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD45ESM****_12152017151342_0822632,No
2307925,GE,GFD45GSM****,GFD45GSM***,"GFD45GSM****,GFD45GSMM0WW,; GFD45GSM***,GFD45GSMM0DG,",757638973724,Gas Standard Vented,Gas,,,,7.5,39.38,27,33,3.48,687,64,"COTTONS CYCLE, TEMPERATURE SETTING LOW, DRYNESS SETTING OF DRY.",Time remaining display,Vented,,,No,,,,,No,,01/02/2018,12/15/2017,Canada,ES_1123206_GFD45GSM***_12152017151611_0971172,No
2354209,GE,G78E_1_NA,GFD55ES*N***,"G78E_1_NA,GFD55ESPNDG,; G78E_1_NA,GFD55ESSNWW,",084691849216,Electric Standard Vented,Electric,,,,7.8,39.75,28,31.38,3.93,608,71,"COTTONS WITH THE DEFAULT ECODRY ON, TEMP - LOW, DRYNESS LEVEL - DRY","Sanitization cycle,Filter cleaning indicator,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,,Yes,ES_1123206_GFW550S*N***_11212019143018_6618069,02/03/2020,01/28/2020,United States,ES_1123206_GFD55ES*N***_01282020203519_3719066,No
