ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2354266,Avanti,AR17T0W,",AR17T1B,; ,AR17T3S,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,20.2,17.7,1.7,1.7,233,275.0,15.0,,,No,,,,,01/01/2020,01/30/2020,United States,ES_92257_AR17T1B_01102020102044_8042261,No,AR17T0W
2309224,Avanti,AR17T1B,",AR17T0W,; ,AR17T3S,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,20.1,17.7,1.7,1.7,238,275.0,13.0,,,No,,,,,11/15/2017,01/16/2018,"United States, Canada",ES_92257_AR17T1B_11232017092331_4355584,No,AR17T1B
2216363,Avanti,AR2406W,",AR2416B,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,25.0,18.5,2.2,2.2,230,279.0,18.0,,,No,,,,,07/21/2014,07/22/2014,United States,ES_92257_AR2406W_07212014164849_4965174,No,AR2406W
2303594,Avanti,AR24T3S,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,24.9,18.5,2.4,2.4,238,281.0,15.0,,,No,,,,,09/01/2017,09/14/2017,United States,ES_92257_AR24T3S_09122017132724_1491662,No,AR24T3S
2353672,Avanti,AR24T3S,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,24.8,17.7,2.4,2.4,238,281.0,15.0,,,No,,,,,01/01/2020,01/16/2020,United States,ES_92257_AR24T3S_01102020153313_9034234,No,AR24T3S
2215460,Avanti,AR321BB,",AR323SB,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.7,3.2,3.2,259,289.0,10.0,,,No,,,,,07/09/2014,07/10/2014,"United States, Canada",ES_92257_AR321BB_07092014154345_4110223,No,AR321BB
2315136,Avanti,AR321BB,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.5,18.7,3.2,3.2,259,289.0,10.0,,,No,,,,,01/22/2018,11/28/2017,"United States, Canada",ES_0092257_AR321BB_03012018110822_70170417,No,AR321BB
2398141,Avanti,AR32J1B,,079841103249,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,33.0,19.0,3.2,3.2,192,244.0,21.0,,,No,,,,,08/29/2021,12/04/2021,United States,ES_92257_AR32J1B_01142022145001_1066973,Yes,AR32J1B
2215426,Avanti,AR4446B,",AR4456SS,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,32.7,19.7,4.4,4.4,269,300.0,10.0,,,No,,,,,07/09/2014,07/10/2014,"United States, Canada",ES_92257_AR4446B_07092014155859_6016198,No,AR4446B
2369715,Avanti,AR4446B,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,33.1,19.5,4.4,4.4,269,300.0,10.0,,,No,,,,,11/17/2020,11/16/2020,"United States, Canada",ES_92257_AR4446B_11192020061719_80063185,No,AR4446B
