ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2369304,Arctic Wind,2ATMW212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.0,33.0,21.0,25.6,396,440.0,10.0,,,No,,,,,10/30/2020,11/09/2020,"United States, Canada",ES_1121980_2ATMW212E_11102020012636_1596636,Yes,2ATMW212E
2397747,Arctic Wind,2AW1BF26A,",2AW1SLF26A,",850012484240;850012484370,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,27.4,17.5,2.6,2.6,215,239.0,10.0,,,No,,,,,08/15/2022,06/23/2022,"United States, Canada",ES_1121980_2AW1BF26A_06202022134236_2692056,No,2AW1BF26A
2393669,Arctic Wind,2AW1SLF44A,,850012484400,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.1,18.7,4.4,4.4,228,254.0,10.0,,,No,,,,,04/15/2022,03/08/2022,"United States, Canada",ES_1121980_2AW1SLF44A_03012022142251_5311380,No,2AW1SLF44A
2370277,Arctic Wind,ABM*171E,",,The symbol *, maybe replaced by A-Z, means different control panel or color of enclosure.",,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,69.1,31.3,17.1,20.9,451,502.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,11/23/2020,11/25/2020,"United States, Canada",ES_1121980_ABM*171E_112520200126738_9572853,No,ABM.171E
2370276,Arctic Wind,ABM*171E*,",,The symbol *, maybe replaced by A-Z, means different control panel or color of enclosure.",,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,69.1,31.3,17.1,20.9,451,502.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,11/23/2020,11/25/2020,"United States, Canada",ES_1121980_ABM*171E*_11252020012627_7795251,No,ABM.171E.
2329929,Arctic Wind,ATMB212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.0,33.0,21.0,25.6,396,440.0,10.0,,,No,,,,,11/10/2018,11/14/2018,"United States, Canada",ES_1121980_ATMB212E_11142018075857_2337900,Yes,ATMB212E
2329930,Arctic Wind,ATMSL212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.0,33.0,21.0,25.6,396,440.0,10.0,,,No,,,,,11/10/2018,11/14/2018,"United States, Canada",ES_1121980_ATMSL212E_11142018075847_2327351,Yes,ATMSL212E
2329932,Arctic Wind,ATMW212E,,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.0,33.0,21.0,25.6,396,440.0,10.0,,,No,,,,,11/10/2018,11/14/2018,"United States, Canada",ES_1121980_ATMW212E_11142018075907_2347387,Yes,ATMW212E
2408259,Asko,VCS5297TPGVCS5297TPG,,,,4 - Freestanding Cooler,Manual,No,No,No,No,No,75.6,27.6,19.1,19.1,159,,,,,No,,,,,01/10/2023,03/22/2023,United States,ES_31672_VCS5297TPG_021720231901193_5190775,No,VCS5297TPGVCS5297TPG
2472278,Asko,WCN311942G,,,,4 - Freestanding Cooler,Manual,No,No,No,No,No,75.6,27.6,18.3,18.3,199,,,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/01/2022,09/06/2022,United States,ES_1123023_WCN311942G_050320232036101_6470724,No,WCN311942G
