ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2307583,Danby Premiere,DUFM085A3*,",DUFM085A3WP,",67638013994,Upright Freezer,8 - Upright freezers with manual defrost,Manual,No,No,No,No,8.5,15,247,277,11,,,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM085A3*_12012017104803_70163948,No
2361078,Electrolux,EI33AF80W*,,012505647260,Upright Freezer,9I - Upright freezers with automatic defrost with automatic icemaker,Automatic,No,No,Yes,Yes,18.9,33.2,521,598,14,R-600a,R-600a (GWP:3 | Lower GWP),No,08/05/2020,05/27/2020,"United States, Canada",ES_1021080_EI33AF80W*_05282020051211_80044038,Yes
2372004,ELEMENT,EAUF14000*,",,* can be A-Z, a-z, 0-9, - or blank.",,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.4,23.6,386,432,11,,,No,01/15/2021,01/15/2021,"United States, Canada",ES_1145034_EAUF14000*_011420211911562_4654591,No
2372005,ELEMENT,EAUF14000B,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.4,23.6,386,432,11,,,No,01/15/2021,01/15/2021,"United States, Canada",ES_1145034_EAUF14000B_011420211911988_6845307,No
2372006,ELEMENT,EAUF14000S,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.4,23.6,386,432,11,,,No,01/15/2021,01/15/2021,"United States, Canada",ES_1145034_EAUF14000S_011420211911401_9162238,No
2372007,ELEMENT,EAUF14000W,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.4,23.6,386,432,11,,,No,01/15/2021,01/15/2021,"United States, Canada",ES_1145034_EAUF14000W_011420211911831_4005757,No
2400703,ELEMENT,EUF14CE**,,810649030821,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.8,24.2,394,437,10,,,No,08/26/2022,08/19/2022,"United States, Canada",ES_1145034_EUF14CE**_08262022020603_80127387,No
2472827,Elisii,DECVC138W,",,Freezer function and Refrigerator function were incorporated in the same one product. (tested model BD/BC-390WP2NF1/HC1(E))",686136119931,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.6,23.9,391,434,10,,,No,04/28/2023,05/08/2023,"United States, Canada",ES_1142511_DECVC138W_050820230806660_2971972,No
2472825,Elisii,DECVC170S,",,Freezer function and Refrigerator function were incorporated in the same one product. (tested model BD/BC-485WP2NA1/HC1(E))",686136119139,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,17,29.9,437,486,10,,,No,12/14/2022,05/08/2023,"United States, Canada",ES_1142511_DECVC170S_050820230358421_8947320,No
2472826,Elisii,DECVC170W,",,Freezer function and Refrigerator function were incorporated in the same one product. (tested model BD/BC-485WP2NA1/HC1(E))",686136119108,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,17,29.9,437,486,10,,,No,12/14/2022,05/08/2023,"United States, Canada",ES_1142511_DECVC170W_05082023035940_2454706,No
