ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2394590,BLACK+DECKER,BD10WT6,,819813019266,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,04/07/2022,04/07/2022,"United States, Canada",ES_1138537_BD10WT6_04112022061537_80121160,No,BD10WT6
2394591,BLACK+DECKER,BD12WT6,,819813019273,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,04/07/2022,04/07/2022,"United States, Canada",ES_1138537_BD12WT6_04112022061537_80121160,No,BD12WT6
2350738,Breeze33,BZ3310TWAC1,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3310TWAC1_12042019055117_8677073,No,BZ3310TWAC1
2350739,Breeze33,BZ3310TWAC2,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3310TWAC2_12042019055124_8684750,No,BZ3310TWAC2
2338140,Breeze33,BZ3310WAC1,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,05/01/2019,03/07/2019,United States,ES_1143317_BZ3310WAC1_05052019113843_80001661,No,BZ3310WAC1
2350741,Breeze33,BZ3312TWAC1,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3312TWAC1_12042019061137_9897721,No,BZ3312TWAC1
2350740,Breeze33,BZ3312TWAC2,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3312TWAC2_12042019061147_9907147,No,BZ3312TWAC2
2338141,Breeze33,BZ3312WAC1,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,05/01/2019,03/07/2019,United States,ES_1143317_BZ3312WAC1_05052019113843_80001661,No,BZ3312WAC1
2338132,Breeze33,BZ3315WAC1,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,12.0,12,944,No,,,,,,,,,05/01/2019,03/07/2019,United States,ES_1143317_BZ3315WAC1_05052019113843_80001661,No,BZ3315WAC1
2338022,Breeze33,BZ3318WAC2,,,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,1144,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3318WAC2_05132019052611_5171418,No,BZ3318WAC2
