ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2361168,Black + Decker,BWAM6W**,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,06/01/2020,06/02/2020,"United States, Canada",ES_1126481_BWAM6W**_06022020111638_80044376,No,BWAM6W..
2361169,Black + Decker,BWAM8W**,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,06/01/2020,06/02/2020,"United States, Canada",ES_1126481_BWAM8W**_06022020111638_80044376,No,BWAM8W..
2294271,BLACK DECKER,BWAC08WT,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,500,No,,,,,,,,,04/12/2017,04/12/2017,United States,ES_1126481_BWAC08WT_04132017080959_0999674,No,BWAC08WT
2294272,BLACK DECKER,BWAC10WT,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,625,No,,,,,,,,,04/12/2017,04/12/2017,United States,ES_1126481_BWAC10WT_04132017081011_1011161,No,BWAC10WT
2294273,BLACK DECKER,BWAC12WT,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,750,No,,,,,,,,,04/12/2017,04/12/2017,United States,ES_1126481_BWAC12WT_04132017081021_1021858,No,BWAC12WT
2373173,BLACK+DECKER,BWAC06WTB,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,372,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC06WTB_02012021203658_1347843,No,BWAC06WTB
2373174,BLACK+DECKER,BWAC08WTB,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,500,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC08WTB_020120212039134_6568606,No,BWAC08WTB
2373175,BLACK+DECKER,BWAC10WTB,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,625,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC10WTB_02012021204839_7278029,No,BWAC10WTB
2373176,BLACK+DECKER,BWAC12WTB,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,750,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC12WTB_020120212042249_4942805,No,BWAC12WTB
2376287,CLASSIC AMERICA,TWC-08CRD1/L0U-CA,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,04/10/2021,04/22/2021,"United States, Canada",ES_1146176_TWC-08CRD1/L0U-CA_041320212057857_3747761,No,TWC-08CRD1/L0U-CA
2406722,CLASSIC AMERICA,TWC-08CRD1/L0U-CA,,856739008066,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.4,5,526,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,12/30/2022,01/12/2023,"United States, Canada",ES_1146176_TWC-08CRD1/L0U-CA_01072023091832_7593652,No,TWC-08CRD1/L0U-CA
2376288,CLASSIC AMERICA,TWC-12CRD1/L0U-CA,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,04/10/2021,04/22/2021,"United States, Canada",ES_1146176_TWC-12CRD1/L0U-CA_041320212100697_1970896,No,TWC-12CRD1/L0U-CA
2373598,Coast air,CB081A,,,,,,,8000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,566,No,,,,,,,,,02/04/2021,02/05/2021,"United States, Canada",ES_17771_CB081A_020420210015216_9084010,No,CB081A
2373600,Coast air,CB103A,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,02/04/2021,02/05/2021,"United States, Canada",ES_17771_CB103A_020420210018956_6936277,No,CB103A
2371742,Coast air,CEW061CS,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,372,No,,,,,,,,,01/06/2021,01/07/2021,"United States, Canada",ES_17771_CEW061CS_010720210153985_7160095,No,CEW061CS
2371743,Coast air,CEW081CS,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,500,No,,,,,,,,,01/06/2021,01/07/2021,"United States, Canada",ES_17771_CEW081CS_010720210153999_1702449,No,CEW081CS
2341094,Coast air,CEW183BS,,,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,1144,No,,,,,,,,,07/10/2019,07/10/2019,"United States, Canada",ES_17771_CEW183BS_07122019052105_8865553,No,CEW183BS
2341099,Coast air,CEW243BS,,,,,,,25000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,No,,,10.3,10,1820,No,,,,,,,,,07/10/2019,07/10/2019,"United States, Canada",ES_17771_CEW243BS_07122019052045_8845603,No,CEW243BS
2403760,ACEKOOL,TWC-06CRD1/L1U(ES),,,,,,,6100,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,378,No,,,,,,,,,09/28/2022,10/28/2022,"United States, Canada",ES_1148173_TWC-06CRD1/L1U(ES)_10282022023586_4955239,No,TWC-06CRD1/L1U(ES)
