ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2361168,Black + Decker,BWAM6W**,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,06/01/2020,06/02/2020,"United States, Canada",ES_1126481_BWAM6W**_06022020111638_80044376,No
2361169,Black + Decker,BWAM8W**,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,500,No,,,,,,,,,06/01/2020,06/02/2020,"United States, Canada",ES_1126481_BWAM8W**_06022020111638_80044376,No
2294271,BLACK DECKER,BWAC08WT,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,500,No,,,,,,,,,04/12/2017,04/12/2017,United States,ES_1126481_BWAC08WT_04132017080959_0999674,No
2294272,BLACK DECKER,BWAC10WT,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,625,No,,,,,,,,,04/12/2017,04/12/2017,United States,ES_1126481_BWAC10WT_04132017081011_1011161,No
2294273,BLACK DECKER,BWAC12WT,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,750,No,,,,,,,,,04/12/2017,04/12/2017,United States,ES_1126481_BWAC12WT_04132017081021_1021858,No
2394590,BLACK+DECKER,BD10WT6,,819813019266,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,625,No,,,,,,,,,04/07/2022,04/07/2022,"United States, Canada",ES_1138537_BD10WT6_04112022061537_80121160,No
2394591,BLACK+DECKER,BD12WT6,,819813019273,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,04/07/2022,04/07/2022,"United States, Canada",ES_1138537_BD12WT6_04112022061537_80121160,No
2373173,BLACK+DECKER,BWAC06WTB,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,372,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC06WTB_02012021203658_1347843,No
2373174,BLACK+DECKER,BWAC08WTB,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,500,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC08WTB_020120212039134_6568606,No
2373175,BLACK+DECKER,BWAC10WTB,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,625,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC10WTB_02012021204839_7278029,No
2373176,BLACK+DECKER,BWAC12WTB,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,750,No,,,,,,,,,01/25/2021,02/03/2021,"United States, Canada",ES_1126481_BWAC12WTB_020120212042249_4942805,No
2350738,Breeze33,BZ3310TWAC1,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3310TWAC1_12042019055117_8677073,No
2350739,Breeze33,BZ3310TWAC2,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3310TWAC2_12042019055124_8684750,No
2338140,Breeze33,BZ3310WAC1,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,625,No,,,,,,,,,05/01/2019,03/07/2019,United States,ES_1143317_BZ3310WAC1_05052019113843_80001661,No
2350741,Breeze33,BZ3312TWAC1,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3312TWAC1_12042019061137_9897721,No
2350740,Breeze33,BZ3312TWAC2,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3312TWAC2_12042019061147_9907147,No
2338141,Breeze33,BZ3312WAC1,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,05/01/2019,03/07/2019,United States,ES_1143317_BZ3312WAC1_05052019113843_80001661,No
2338132,Breeze33,BZ3315WAC1,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,12,12,944,No,,,,,,,,,05/01/2019,03/07/2019,United States,ES_1143317_BZ3315WAC1_05052019113843_80001661,No
2338022,Breeze33,BZ3318WAC2,,,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,1144,No,,,,,,,,,05/09/2019,05/13/2019,"United States, Canada",ES_1143317_BZ3318WAC2_05132019052611_5171418,No
2389120,Breeze33,BZ3318WAC2-G2,,810055927043,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,1144,No,,,,,,,,,12/06/2021,12/06/2021,"United States, Canada",ES_1143317_BZ3318WAC2-G2_12102021073521_80104134,No
